kind,case,query,p25_ns,median_ns,p75_ns
rust_source_generation,all,all,1405258.0,1423144.0,1443925.0
plan_compilation,0,GET,5819.8,5828.1,5840.8
plan_compilation,0,SUM_1PCT,5840.4,5872.0,5885.2
plan_compilation,0,SUM_70PCT,5853.0,5874.3,5887.6
plan_compilation,0,BETWEEN_1PCT,6067.3,6069.8,6094.3
plan_compilation,0,BETWEEN_70PCT,6035.7,6050.1,6066.7
plan_compilation,0,FILTER_POINT,5875.3,5882.8,5893.4
plan_compilation,0,FILTER_50PCT,5853.1,5876.6,5879.3
plan_compilation,1,GET,1720.0,1736.8,1746.8
plan_compilation,1,SUM_1PCT,1787.9,1802.1,1821.2
plan_compilation,1,SUM_70PCT,4888.2,4895.2,4909.2
plan_compilation,1,BETWEEN_1PCT,1784.3,1806.4,1811.3
plan_compilation,1,BETWEEN_70PCT,4921.1,4925.0,4940.6
plan_compilation,1,FILTER_POINT,6203.1,6238.0,6245.2
plan_compilation,1,FILTER_50PCT,6180.9,6191.0,6219.1
plan_compilation,2,GET,1909.7,1911.4,1925.6
plan_compilation,2,SUM_1PCT,1874.9,1880.4,1888.2
plan_compilation,2,SUM_70PCT,1885.3,1894.5,1897.2
plan_compilation,2,BETWEEN_1PCT,1885.2,1895.9,1903.8
plan_compilation,2,BETWEEN_70PCT,1881.0,1887.1,1892.7
plan_compilation,2,FILTER_POINT,1901.4,1921.3,1947.8
plan_compilation,2,FILTER_50PCT,1863.5,1885.1,1897.4
plan_compilation,3,GET,2039.2,2048.1,2055.8
plan_compilation,3,SUM_1PCT,2152.9,2158.8,2166.3
plan_compilation,3,SUM_70PCT,5236.8,5247.1,5263.3
plan_compilation,3,BETWEEN_1PCT,2139.1,2150.8,2156.6
plan_compilation,3,BETWEEN_70PCT,5260.4,5268.8,5278.9
plan_compilation,3,FILTER_POINT,1006.7,1008.9,1014.6
plan_compilation,3,FILTER_50PCT,994.3,1000.5,1010.5
plan_compilation,4,GET,1409.1,1425.7,1434.2
plan_compilation,4,SUM_1PCT,1496.5,1507.2,1516.7
plan_compilation,4,SUM_70PCT,4639.8,4643.9,4656.1
plan_compilation,4,BETWEEN_1PCT,1489.4,1498.0,1505.2
plan_compilation,4,BETWEEN_70PCT,4628.4,4632.2,4646.7
plan_compilation,4,FILTER_POINT,5889.5,5919.8,5942.4
plan_compilation,4,FILTER_50PCT,5889.5,5898.8,5919.9
plan_compilation,5,GET,6332.1,6342.2,6362.0
plan_compilation,5,SUM_1PCT,6395.8,6410.1,6431.2
plan_compilation,5,SUM_70PCT,6403.3,6414.6,6424.4
plan_compilation,5,BETWEEN_1PCT,6387.3,6407.8,6440.6
