case,recipe,file_bytes,field,field_name,logical_length,location,physical_offset,frame,decoded_offset,read_granularity
0,"Nullable(FOR(BitPack))",35728,0,"metadata",448,direct,0,,0,64
0,"Nullable(FOR(BitPack))",35728,1,"nullable.validity",2048,direct,448,,0,32
0,"Nullable(FOR(BitPack))",35728,2,"nullable.rank",260,direct,2496,,0,64
0,"Nullable(FOR(BitPack))",35728,3,"for.base",8,direct,2760,,0,8
0,"Nullable(FOR(BitPack))",35728,4,"bitpack.miniblocks",32912,direct,2816,,0,272
1,"Patch(FOR(BitPack))",35648,0,"metadata",576,direct,0,,0,64
1,"Patch(FOR(BitPack))",35648,1,"patch.positions",64,direct,576,,0,128
1,"Patch(FOR(BitPack))",35648,2,"patch.index",16,direct,640,,0,64
1,"Patch(FOR(BitPack))",35648,3,"patch.exceptions",128,direct,656,,0,64
1,"Patch(FOR(BitPack))",35648,4,"for.base",8,direct,784,,0,8
1,"Patch(FOR(BitPack))",35648,5,"bitpack.miniblocks",34816,direct,832,,0,272
2,"Nullable(Dictionary(RLE(BitPack)))",5056,0,"metadata",640,direct,0,,0,64
2,"Nullable(Dictionary(RLE(BitPack)))",5056,1,"nullable.validity",2048,direct,640,,0,32
2,"Nullable(Dictionary(RLE(BitPack)))",5056,2,"nullable.rank",260,direct,2688,,0,64
2,"Nullable(Dictionary(RLE(BitPack)))",5056,3,"dictionary.values",24,direct,2952,,0,64
2,"Nullable(Dictionary(RLE(BitPack)))",5056,4,"rle.lengths",1772,direct,2976,,0,128
2,"Nullable(Dictionary(RLE(BitPack)))",5056,5,"rle.index",120,direct,4752,,0,64
2,"Nullable(Dictionary(RLE(BitPack)))",5056,6,"bitpack.miniblocks",128,direct,4928,,0,32
3,"Frame(FOR(Delta(BitPack)))",866,0,"metadata",448,direct,0,,0,64
3,"Frame(FOR(Delta(BitPack)))",866,1,"for.base",8,framed,0,0,0,8
3,"Frame(FOR(Delta(BitPack)))",866,2,"delta.restarts",512,framed,0,0,8,64
3,"Frame(FOR(Delta(BitPack)))",866,3,"bitpack.miniblocks",10240,framed,0,0,576,80
4,"Patch(Dictionary(BitPack))",4928,0,"metadata",576,direct,0,,0,64
4,"Patch(Dictionary(BitPack))",4928,1,"patch.positions",64,direct,576,,0,128
4,"Patch(Dictionary(BitPack))",4928,2,"patch.index",16,direct,640,,0,64
4,"Patch(Dictionary(BitPack))",4928,3,"patch.exceptions",128,direct,656,,0,64
4,"Patch(Dictionary(BitPack))",4928,4,"dictionary.values",32,direct,784,,0,64
