case,recipe,query,node,operation,row_start,row_end,guarantee,closure,logical_bytes,delivered_bytes,possible_fields,reason
0,"Nullable(FOR(BitPack))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,448,448,"",""
0,"Nullable(FOR(BitPack))",GET,1,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
0,"Nullable(FOR(BitPack))",GET,2,ReadRange { field: FieldId(3), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"3","FOR child rows are runtime-refined"
0,"Nullable(FOR(BitPack))",GET,3,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 32768 } },0,15420,PhysicalBytes,runtime_refined,0,0,"4","bit range depends on runtime-refined parent rows"
0,"Nullable(FOR(BitPack))",GET,4,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
0,"Nullable(FOR(BitPack))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,448,448,"",""
0,"Nullable(FOR(BitPack))",SUM_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
0,"Nullable(FOR(BitPack))",SUM_1PCT,2,ReadRange { field: FieldId(3), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"3","FOR child rows are runtime-refined"
0,"Nullable(FOR(BitPack))",SUM_1PCT,3,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 32768 } },0,15420,PhysicalBytes,runtime_refined,0,0,"4","bit range depends on runtime-refined parent rows"
0,"Nullable(FOR(BitPack))",SUM_1PCT,4,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,448,448,"",""
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,2,ReadRange { field: FieldId(3), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"3","FOR child rows are runtime-refined"
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,3,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 32768 } },0,15420,PhysicalBytes,runtime_refined,0,0,"4","bit range depends on runtime-refined parent rows"
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,4,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
0,"Nullable(FOR(BitPack))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,448,448,"",""
0,"Nullable(FOR(BitPack))",FILTER_POINT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
0,"Nullable(FOR(BitPack))",FILTER_POINT,2,ReadRange { field: FieldId(3), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"3","FOR child rows are runtime-refined"
0,"Nullable(FOR(BitPack))",FILTER_POINT,3,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 32768 } },0,15420,PhysicalBytes,runtime_refined,0,0,"4","bit range depends on runtime-refined parent rows"
0,"Nullable(FOR(BitPack))",FILTER_POINT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
0,"Nullable(FOR(BitPack))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,448,448,"",""
0,"Nullable(FOR(BitPack))",FILTER_50PCT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
0,"Nullable(FOR(BitPack))",FILTER_50PCT,2,ReadRange { field: FieldId(3), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"3","FOR child rows are runtime-refined"
0,"Nullable(FOR(BitPack))",FILTER_50PCT,3,ReadRange { field: FieldId(4), bytes: Span { start: 0, end: 32768 } },0,15420,PhysicalBytes,runtime_refined,0,0,"4","bit range depends on runtime-refined parent rows"
0,"Nullable(FOR(BitPack))",FILTER_50PCT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
