case,recipe,query,baseline,p25_ns,median_ns,p75_ns,median_over_handwritten,fused_over_baseline,logical_bytes,delivered_bytes,transferred_bytes,file_bytes,delivered_fraction,decoded_rows,planner_ns
0,"Nullable(FOR(BitPack))",GET,full_decode,881602.0,882385.0,883580.8,1097.5500,0.9871,35276,35480,35480,35728,0.993059,16384,5828.1
0,"Nullable(FOR(BitPack))",GET,fused_decode,867326.6,870980.2,872174.0,1083.3642,1.0000,35276,35480,35480,35728,0.993059,16384,5828.1
0,"Nullable(FOR(BitPack))",GET,interpreted_plan,824.4,826.4,831.6,1.0279,1053.9388,464,824,824,35728,0.023063,1,5828.1
0,"Nullable(FOR(BitPack))",GET,generated_full_page_access,433.8,434.1,434.9,0.5400,2006.4101,464,35728,35728,35728,1.000000,1,5828.1
0,"Nullable(FOR(BitPack))",GET,generated,797.5,798.5,805.0,0.9932,1090.7672,464,824,824,35728,0.023063,1,5828.1
0,"Nullable(FOR(BitPack))",GET,handwritten_monomorphized,801.5,804.0,805.5,1.0000,1083.3642,464,824,824,35728,0.023063,1,5828.1
0,"Nullable(FOR(BitPack))",SUM_1PCT,full_decode,885866.2,886337.0,887440.6,45.8414,0.9736,35276,35480,35480,35728,0.993059,16384,5872.0
0,"Nullable(FOR(BitPack))",SUM_1PCT,fused_decode,861429.8,862922.0,863338.8,44.6304,1.0000,35276,35480,35480,35728,0.993059,16384,5872.0
0,"Nullable(FOR(BitPack))",SUM_1PCT,interpreted_plan,98289.1,98343.0,98368.2,5.0863,8.7746,835,1192,1192,35728,0.033363,163,5872.0
0,"Nullable(FOR(BitPack))",SUM_1PCT,generated_full_page_access,9765.4,9770.3,9776.7,0.5053,88.3206,831,35728,35728,35728,1.000000,163,5872.0
0,"Nullable(FOR(BitPack))",SUM_1PCT,generated,10794.7,10802.1,10833.4,0.5587,79.8847,831,1128,1128,35728,0.031572,163,5872.0
0,"Nullable(FOR(BitPack))",SUM_1PCT,handwritten_monomorphized,19328.3,19334.9,19347.1,1.0000,44.6304,831,1128,1128,35728,0.031572,163,5872.0
0,"Nullable(FOR(BitPack))",SUM_70PCT,full_decode,892774.6,893645.8,894108.6,0.7315,0.9773,35276,35480,35480,35728,0.993059,16384,5874.3
0,"Nullable(FOR(BitPack))",SUM_70PCT,fused_decode,872298.0,873323.6,874541.4,0.7149,1.0000,35276,35480,35480,35728,0.993059,16384,5874.3
0,"Nullable(FOR(BitPack))",SUM_70PCT,interpreted_plan,6908863.0,6925277.0,6941061.0,5.6690,0.1261,25513,25848,25848,35728,0.723466,11703,5874.3
0,"Nullable(FOR(BitPack))",SUM_70PCT,generated_full_page_access,589514.9,589810.4,590326.1,0.4828,1.4807,25333,35728,35728,35728,1.000000,11703,5874.3
0,"Nullable(FOR(BitPack))",SUM_70PCT,generated,625888.6,626864.3,627595.3,0.5131,1.3932,25333,25656,25656,35728,0.718092,11703,5874.3
0,"Nullable(FOR(BitPack))",SUM_70PCT,handwritten_monomorphized,1220642.0,1221613.5,1223533.8,1.0000,0.7149,25333,25656,25656,35728,0.718092,11703,5874.3
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,full_decode,889337.4,889764.2,890931.8,45.0348,0.9774,35276,35480,35480,35728,0.993059,16384,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,fused_decode,868885.0,869660.0,869732.2,44.0173,1.0000,35276,35480,35480,35728,0.993059,16384,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,interpreted_plan,98631.6,98652.5,98690.9,4.9932,8.8154,835,1192,1192,35728,0.033363,163,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,generated_full_page_access,10340.1,10378.3,10402.6,0.5253,83.7956,831,35728,35728,35728,1.000000,163,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,generated,11279.4,11312.9,11325.0,0.5726,76.8733,831,1128,1128,35728,0.031572,163,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_1PCT,handwritten_monomorphized,19715.5,19757.2,19778.9,1.0000,44.0173,831,1128,1128,35728,0.031572,163,6069.8
0,"Nullable(FOR(BitPack))",BETWEEN_70PCT,full_decode,909529.8,912492.0,914587.0,0.7323,0.9780,35276,35480,35480,35728,0.993059,16384,6050.1
0,"Nullable(FOR(BitPack))",BETWEEN_70PCT,fused_decode,891544.8,892462.0,893205.4,0.7163,1.0000,35276,35480,35480,35728,0.993059,16384,6050.1
