case,split,recipe,query,tier,first_fused_win_rows,first_fused_win_selectivity,selective_wins,cells
0,train,"Nullable(FOR(BitPack))",SUM,memory_warm,16384,1.00000000,16,17
0,train,"Nullable(FOR(BitPack))",SUM,mmap_hot,16384,1.00000000,16,17
0,train,"Nullable(FOR(BitPack))",SUM,buffered_hot,14745,0.89996338,15,17
0,train,"Nullable(FOR(BitPack))",SUM,buffered_drop_cache,13107,0.79998779,14,17
0,train,"Nullable(FOR(BitPack))",BETWEEN,memory_warm,16384,1.00000000,16,17
0,train,"Nullable(FOR(BitPack))",BETWEEN,mmap_hot,16384,1.00000000,16,17
0,train,"Nullable(FOR(BitPack))",BETWEEN,buffered_hot,14745,0.89996338,15,17
0,train,"Nullable(FOR(BitPack))",BETWEEN,buffered_drop_cache,13107,0.79998779,14,17
1,train,"Patch(FOR(BitPack))",SUM,memory_warm,16384,1.00000000,16,17
1,train,"Patch(FOR(BitPack))",SUM,mmap_hot,16384,1.00000000,16,17
1,train,"Patch(FOR(BitPack))",SUM,buffered_hot,16384,1.00000000,16,17
1,train,"Patch(FOR(BitPack))",SUM,buffered_drop_cache,16384,1.00000000,16,17
1,train,"Patch(FOR(BitPack))",BETWEEN,memory_warm,,,17,17
1,train,"Patch(FOR(BitPack))",BETWEEN,mmap_hot,,,17,17
1,train,"Patch(FOR(BitPack))",BETWEEN,buffered_hot,16384,1.00000000,16,17
1,train,"Patch(FOR(BitPack))",BETWEEN,buffered_drop_cache,,,17,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",SUM,memory_warm,16384,1.00000000,16,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",SUM,mmap_hot,16384,1.00000000,16,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",SUM,buffered_hot,14745,0.89996338,15,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",SUM,buffered_drop_cache,14745,0.89996338,15,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN,memory_warm,16384,1.00000000,16,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN,mmap_hot,16384,1.00000000,16,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN,buffered_hot,14745,0.89996338,15,17
2,train,"Nullable(Dictionary(RLE(BitPack)))",BETWEEN,buffered_drop_cache,14745,0.89996338,15,17
3,train,"Frame(FOR(Delta(BitPack)))",SUM,memory_warm,,,17,17
3,train,"Frame(FOR(Delta(BitPack)))",SUM,mmap_hot,,,17,17
3,train,"Frame(FOR(Delta(BitPack)))",SUM,buffered_hot,16384,1.00000000,16,17
