case,split,recipe,query,rows,selectivity,tier,plan,p25_ns,median_ns,p75_ns,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,decoded_rows,file_bytes,metadata_bytes,layout_frames,restart_entries,rle_runs,dictionary_entries,patch_count,nullable_nodes
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,memory_warm,selective_closure,2704.2,2705.7,2716.2,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,memory_warm,broad_fused,809577.0,810709.0,814335.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,mmap_hot,selective_closure,3181.7,3184.5,3230.2,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,mmap_hot,broad_fused,799101.0,801876.0,803007.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,buffered_hot,selective_closure,7594.7,7629.5,7684.7,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,buffered_hot,broad_fused,800484.0,804440.0,808386.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,buffered_drop_cache,selective_closure,175251.0,176223.0,176843.0,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1,0.00006104,buffered_drop_cache,broad_fused,931059.0,931299.0,931639.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1,0.00006104,memory_warm,selective_closure,2786.7,2787.2,2806.4,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1,0.00006104,memory_warm,broad_fused,798922.0,799572.0,801205.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1,0.00006104,mmap_hot,selective_closure,3178.2,3179.3,3226.0,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1,0.00006104,mmap_hot,broad_fused,803268.0,804329.0,804770.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1,0.00006104,buffered_hot,selective_closure,7693.9,7711.8,7779.0,495,824,824,5,0,1,35728,448,0,0,0,0,0,1
