feature_mode,policy,tier,query,heldout_cells,accuracy,mean_regret,median_regret,p95_regret,max_regret
preflight_free_estimate,always_fused,memory_warm,SUM,85,0.047059,44.019403,4.542041,261.215057,419.773880
preflight_free_estimate,always_fused,memory_warm,BETWEEN,85,0.047059,43.997115,4.521326,257.177558,416.771667
preflight_free_estimate,always_fused,mmap_hot,SUM,85,0.047059,42.014094,4.524890,256.021268,398.292101
preflight_free_estimate,always_fused,mmap_hot,BETWEEN,85,0.035294,42.159079,4.539309,254.440868,395.723966
preflight_free_estimate,always_fused,buffered_hot,SUM,85,0.105882,25.317419,3.947856,137.036300,162.727420
preflight_free_estimate,always_fused,buffered_hot,BETWEEN,85,0.094118,25.382282,3.835877,136.170122,165.902464
preflight_free_estimate,always_fused,buffered_drop_cache,SUM,85,0.105882,4.580404,1.871962,13.903744,15.927932
preflight_free_estimate,always_fused,buffered_drop_cache,BETWEEN,85,0.105882,4.581408,1.873918,13.957882,15.921829
preflight_free_estimate,always_selective,memory_warm,SUM,85,0.952941,1.002671,1.000000,1.000000,1.065861
preflight_free_estimate,always_selective,memory_warm,BETWEEN,85,0.952941,1.002086,1.000000,1.000000,1.071390
preflight_free_estimate,always_selective,mmap_hot,SUM,85,0.952941,1.002464,1.000000,1.000000,1.061267
preflight_free_estimate,always_selective,mmap_hot,BETWEEN,85,0.964706,1.001965,1.000000,1.000000,1.066573
preflight_free_estimate,always_selective,buffered_hot,SUM,85,0.894118,1.015384,1.000000,1.101137,1.377548
preflight_free_estimate,always_selective,buffered_hot,BETWEEN,85,0.905882,1.015162,1.000000,1.106959,1.384233
preflight_free_estimate,always_selective,buffered_drop_cache,SUM,85,0.894118,1.014899,1.000000,1.097404,1.382006
preflight_free_estimate,always_selective,buffered_drop_cache,BETWEEN,85,0.894118,1.015388,1.000000,1.101099,1.382427
preflight_free_estimate,cost_model,memory_warm,SUM,85,0.952941,1.002671,1.000000,1.000000,1.065861
preflight_free_estimate,cost_model,memory_warm,BETWEEN,85,0.941176,1.002116,1.000000,1.001195,1.108565
preflight_free_estimate,cost_model,mmap_hot,SUM,85,0.952941,1.002464,1.000000,1.000000,1.061267
preflight_free_estimate,cost_model,mmap_hot,BETWEEN,85,0.952941,1.002297,1.000000,1.000000,1.112017
preflight_free_estimate,cost_model,buffered_hot,SUM,85,0.917647,1.008851,1.000000,1.078419,1.246941
preflight_free_estimate,cost_model,buffered_hot,BETWEEN,85,0.905882,1.009172,1.000000,1.079072,1.244629
preflight_free_estimate,cost_model,buffered_drop_cache,SUM,85,0.929412,1.007133,1.000000,1.001660,1.306147
preflight_free_estimate,cost_model,buffered_drop_cache,BETWEEN,85,0.929412,1.007792,1.000000,1.008610,1.323615
exact_closure_features,always_fused,memory_warm,SUM,85,0.047059,44.019403,4.542041,261.215057,419.773880
exact_closure_features,always_fused,memory_warm,BETWEEN,85,0.047059,43.997115,4.521326,257.177558,416.771667
exact_closure_features,always_fused,mmap_hot,SUM,85,0.047059,42.014094,4.524890,256.021268,398.292101
exact_closure_features,always_fused,mmap_hot,BETWEEN,85,0.035294,42.159079,4.539309,254.440868,395.723966
exact_closure_features,always_fused,buffered_hot,SUM,85,0.105882,25.317419,3.947856,137.036300,162.727420
exact_closure_features,always_fused,buffered_hot,BETWEEN,85,0.094118,25.382282,3.835877,136.170122,165.902464
exact_closure_features,always_fused,buffered_drop_cache,SUM,85,0.105882,4.580404,1.871962,13.903744,15.927932
exact_closure_features,always_fused,buffered_drop_cache,BETWEEN,85,0.105882,4.581408,1.873918,13.957882,15.921829
exact_closure_features,always_selective,memory_warm,SUM,85,0.952941,1.002671,1.000000,1.000000,1.065861
exact_closure_features,always_selective,memory_warm,BETWEEN,85,0.952941,1.002086,1.000000,1.000000,1.071390
exact_closure_features,always_selective,mmap_hot,SUM,85,0.952941,1.002464,1.000000,1.000000,1.061267
exact_closure_features,always_selective,mmap_hot,BETWEEN,85,0.964706,1.001965,1.000000,1.000000,1.066573
exact_closure_features,always_selective,buffered_hot,SUM,85,0.894118,1.015384,1.000000,1.101137,1.377548
exact_closure_features,always_selective,buffered_hot,BETWEEN,85,0.905882,1.015162,1.000000,1.106959,1.384233
exact_closure_features,always_selective,buffered_drop_cache,SUM,85,0.894118,1.014899,1.000000,1.097404,1.382006
exact_closure_features,always_selective,buffered_drop_cache,BETWEEN,85,0.894118,1.015388,1.000000,1.101099,1.382427
exact_closure_features,cost_model,memory_warm,SUM,85,0.964706,1.002164,1.000000,1.000000,1.065861
exact_closure_features,cost_model,memory_warm,BETWEEN,85,0.964706,1.001568,1.000000,1.000000,1.071390
exact_closure_features,cost_model,mmap_hot,SUM,85,0.964706,1.001956,1.000000,1.000000,1.061267
exact_closure_features,cost_model,mmap_hot,BETWEEN,85,0.976471,1.001408,1.000000,1.000000,1.066573
exact_closure_features,cost_model,buffered_hot,SUM,85,0.941176,1.007183,1.000000,1.030095,1.304849
exact_closure_features,cost_model,buffered_hot,BETWEEN,85,0.952941,1.006713,1.000000,1.000000,1.310722
exact_closure_features,cost_model,buffered_drop_cache,SUM,85,0.929412,1.007395,1.000000,1.022386,1.306147
exact_closure_features,cost_model,buffered_drop_cache,BETWEEN,85,0.941176,1.006889,1.000000,1.004753,1.323615
