tier,policy,pages,logical_rows,selected_rows,bundle_bytes,planning_ns,selective_pages,fused_pages,p25_ns,median_ns,p75_ns,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,decoded_rows,checksum,os_read_bytes,os_read_chars,minor_faults,major_faults
mmap_hot,always_selective,2048,33554432,9016787,134155264,5098,2048,0,601747233.0,602126795.0,605843846.0,8467761,17929793,17929793,42032,819,9016787,7169301218648,0,132,0,0
mmap_hot,always_fused,2048,33554432,9016787,134155264,7832,0,2048,2083432394.0,2083492300.0,2085068617.0,26752236,21624365,21624365,2048,819,33554432,7169301218648,0,132,0,0
mmap_hot,cost_model_preflight_free,2048,33554432,9016787,134155264,8082367,1843,205,595463612.0,595509176.0,595942414.0,8467761,17954801,17954801,34122,819,9016787,7169301218648,0,132,0,0
mmap_hot,microcurve_oracle,2048,33554432,9016787,134155264,7967365,1843,205,589220531.0,589346652.0,589526893.0,8467761,17970033,17970033,21474,819,9016787,7169301218648,0,132,0,0
buffered_hot,always_selective,2048,33554432,9016787,134155264,5468,2048,0,639973526.0,640565692.0,641070827.0,8467761,17929793,17929793,42032,819,9016787,7169301218648,0,17929925,0,0
buffered_hot,always_fused,2048,33554432,9016787,134155264,5579,0,2048,2104289547.0,2104754136.0,2104997306.0,26752236,21624365,21624365,2048,819,33554432,7169301218648,0,21624497,0,0
buffered_hot,cost_model_preflight_free,2048,33554432,9016787,134155264,8141867,1707,341,614208146.0,614541138.0,614615571.0,8467761,17970033,17970033,21338,819,9016787,7169301218648,0,17970165,0,0
buffered_hot,microcurve_oracle,2048,33554432,9016787,134155264,7962900,1843,205,613587302.0,613656948.0,614483514.0,8467761,17970033,17970033,21474,819,9016787,7169301218648,0,17970165,0,0
buffered_drop_cache,always_selective,2048,33554432,9016787,134155264,5588,2048,0,642465282.0,938295480.0,939948027.0,8467761,17929793,17929793,42032,819,9016787,7169301218648,25178112,17929925,0,0
buffered_drop_cache,always_fused,2048,33554432,9016787,134155264,4967,0,2048,2424296136.0,2434465846.0,2434653110.0,26752236,21624365,21624365,2048,819,33554432,7169301218648,25178112,21624498,338,0
buffered_drop_cache,cost_model_preflight_free,2048,33554432,9016787,134155264,8730075,1707,341,926163681.0,926898709.0,927474114.0,8467761,17970033,17970033,21338,819,9016787,7169301218648,25178112,17970166,2,0
buffered_drop_cache,microcurve_oracle,2048,33554432,9016787,134155264,7951033,1775,273,903186432.0,904167959.0,904426260.0,8467761,17970033,17970033,21406,819,9016787,7169301218648,25178112,17970166,0,0
