group,source,column,query,plan,rows,metadata_bytes,candidate_rows,candidate_fraction,modeled_bytes,false_positive_blocks,matches,p25_ns,median_ns,p75_ns
clickbench,hits,c1_CounterID_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,6,178967.0,178988.0,179719.0
clickbench,hits,c1_CounterID_x1,eq_rare,minmax,131072,2048,1024,0.00781250,10240,0,6,1532.0,1532.0,1563.0
clickbench,hits,c1_CounterID_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,6,1983.0,1983.0,1993.0
clickbench,hits,c1_CounterID_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,6,2113.0,2113.0,2143.0
clickbench,hits,c1_CounterID_x1,eq_rare,sparse_fence,131072,174768,24,0.00018311,174960,0,6,261.0,321.0,420.0
clickbench,hits,c1_CounterID_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,131057,179408.0,179459.0,179499.0
clickbench,hits,c1_CounterID_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,131057,179969.0,179979.0,180390.0
clickbench,hits,c1_CounterID_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,131057,183185.0,183314.0,183445.0
clickbench,hits,c1_CounterID_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,131057,184316.0,184426.0,184506.0
clickbench,hits,c1_CounterID_x1,eq_frequent,sparse_fence,131072,174768,131060,0.99990845,1223248,0,131057,294982.0,296063.0,298977.0
clickbench,hits,c1_CounterID_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,178928.0,178938.0,179048.0
clickbench,hits,c1_CounterID_x1,eq_absent,minmax,131072,2048,1024,0.00781250,10240,1,0,1522.0,1522.0,1523.0
clickbench,hits,c1_CounterID_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,551.0,561.0,561.0
clickbench,hits,c1_CounterID_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,671.0,671.0,681.0
clickbench,hits,c1_CounterID_x1,eq_absent,sparse_fence,131072,174768,12,0.00009155,174864,1,0,130.0,130.0,141.0
clickbench,hits,c1_CounterID_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,131063,285788.0,285917.0,289954.0
clickbench,hits,c1_CounterID_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,131063,286519.0,286699.0,290334.0
clickbench,hits,c1_CounterID_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,131063,290395.0,291046.0,294310.0
clickbench,hits,c1_CounterID_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,131063,291997.0,292187.0,293279.0
clickbench,hits,c1_CounterID_x1,in_mixed,sparse_fence,131072,174768,131072,1.00000000,1223344,0,131063,401461.0,401531.0,405527.0
clickbench,hits,c2_RegionID_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,1,178848.0,178868.0,178988.0
clickbench,hits,c2_RegionID_x1,eq_rare,minmax,131072,2048,131072,1.00000000,1050624,127,1,179448.0,179578.0,179899.0
clickbench,hits,c2_RegionID_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,1,1993.0,1993.0,1993.0
clickbench,hits,c2_RegionID_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,1,2344.0,2363.0,2404.0
clickbench,hits,c2_RegionID_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,60255,201412.0,204546.0,207350.0
clickbench,hits,c2_RegionID_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,60255,201421.0,202533.0,205498.0
clickbench,hits,c2_RegionID_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,60255,204375.0,204546.0,206378.0
clickbench,hits,c2_RegionID_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,60255,205828.0,207711.0,209363.0
clickbench,hits,c2_RegionID_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,178928.0,178937.0,179018.0
clickbench,hits,c2_RegionID_x1,eq_absent,minmax,131072,2048,131072,1.00000000,1050624,128,0,179529.0,179619.0,179719.0
clickbench,hits,c2_RegionID_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,551.0,561.0,581.0
clickbench,hits,c2_RegionID_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,892.0,912.0,931.0
clickbench,hits,c2_RegionID_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,60256,255863.0,256173.0,260190.0
clickbench,hits,c2_RegionID_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,60256,256473.0,256614.0,260119.0
clickbench,hits,c2_RegionID_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,60256,260239.0,260520.0,264095.0
clickbench,hits,c2_RegionID_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,60256,260941.0,261352.0,265027.0
clickbench,hits,c3_ResolutionWidth_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,1,178818.0,178847.0,178908.0
clickbench,hits,c3_ResolutionWidth_x1,eq_rare,minmax,131072,2048,131072,1.00000000,1050624,127,1,179379.0,179468.0,179619.0
clickbench,hits,c3_ResolutionWidth_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,1,2003.0,2003.0,2013.0
clickbench,hits,c3_ResolutionWidth_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,1,2353.0,2373.0,2403.0
clickbench,hits,c3_ResolutionWidth_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,40060,197185.0,200730.0,204776.0
clickbench,hits,c3_ResolutionWidth_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,40060,197165.0,197966.0,198938.0
clickbench,hits,c3_ResolutionWidth_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,40060,199749.0,199919.0,201211.0
clickbench,hits,c3_ResolutionWidth_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,40060,200930.0,201642.0,205818.0
clickbench,hits,c3_ResolutionWidth_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,178778.0,178888.0,179158.0
clickbench,hits,c3_ResolutionWidth_x1,eq_absent,minmax,131072,2048,38912,0.29687500,313344,38,0,53210.0,53220.0,53350.0
clickbench,hits,c3_ResolutionWidth_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,551.0,561.0,561.0
clickbench,hits,c3_ResolutionWidth_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,781.0,791.0,831.0
clickbench,hits,c3_ResolutionWidth_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,40061,257776.0,258086.0,261982.0
clickbench,hits,c3_ResolutionWidth_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,40061,258277.0,258547.0,261842.0
clickbench,hits,c3_ResolutionWidth_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,40061,262352.0,262603.0,266068.0
clickbench,hits,c3_ResolutionWidth_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,40061,264155.0,265468.0,267160.0
clickbench,hits,c4_ResolutionHeight_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,1,178928.0,178978.0,179108.0
clickbench,hits,c4_ResolutionHeight_x1,eq_rare,minmax,131072,2048,131072,1.00000000,1050624,127,1,179519.0,179619.0,179939.0
clickbench,hits,c4_ResolutionHeight_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,1,1993.0,2003.0,2013.0
clickbench,hits,c4_ResolutionHeight_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,1,2373.0,2374.0,2414.0
clickbench,hits,c4_ResolutionHeight_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,35181,196174.0,196574.0,199759.0
clickbench,hits,c4_ResolutionHeight_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,35181,196324.0,196644.0,201953.0
clickbench,hits,c4_ResolutionHeight_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,35181,199699.0,202623.0,211456.0
clickbench,hits,c4_ResolutionHeight_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,35181,203184.0,203765.0,208502.0
clickbench,hits,c4_ResolutionHeight_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,180921.0,181121.0,181962.0
clickbench,hits,c4_ResolutionHeight_x1,eq_absent,minmax,131072,2048,38912,0.29687500,313344,38,0,53269.0,53320.0,53400.0
clickbench,hits,c4_ResolutionHeight_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,571.0,571.0,591.0
clickbench,hits,c4_ResolutionHeight_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,821.0,822.0,861.0
clickbench,hits,c4_ResolutionHeight_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,35182,247130.0,248512.0,250314.0
clickbench,hits,c4_ResolutionHeight_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,35182,247761.0,248492.0,250946.0
clickbench,hits,c4_ResolutionHeight_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,35182,251497.0,251666.0,256224.0
clickbench,hits,c4_ResolutionHeight_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,35182,253009.0,253530.0,257806.0
clickbench,hits,c5_WindowClientWidth_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,1,180611.0,180700.0,180740.0
clickbench,hits,c5_WindowClientWidth_x1,eq_rare,minmax,131072,2048,104448,0.79687500,837632,101,1,144025.0,144846.0,145328.0
clickbench,hits,c5_WindowClientWidth_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,1,1983.0,1983.0,1993.0
clickbench,hits,c5_WindowClientWidth_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,1,2364.0,2393.0,2403.0
clickbench,hits,c5_WindowClientWidth_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,13194,191727.0,192348.0,195703.0
clickbench,hits,c5_WindowClientWidth_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,13194,192558.0,192719.0,192898.0
clickbench,hits,c5_WindowClientWidth_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,13194,194961.0,195272.0,198137.0
clickbench,hits,c5_WindowClientWidth_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,13194,196194.0,197196.0,198988.0
clickbench,hits,c5_WindowClientWidth_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,180500.0,180601.0,181612.0
clickbench,hits,c5_WindowClientWidth_x1,eq_absent,minmax,131072,2048,64512,0.49218750,518144,63,0,89244.0,89333.0,89434.0
clickbench,hits,c5_WindowClientWidth_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,561.0,561.0,571.0
clickbench,hits,c5_WindowClientWidth_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,791.0,821.0,871.0
clickbench,hits,c5_WindowClientWidth_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,13195,236664.0,237956.0,241481.0
clickbench,hits,c5_WindowClientWidth_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,13195,237325.0,238638.0,242463.0
clickbench,hits,c5_WindowClientWidth_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,13195,241371.0,241762.0,246690.0
clickbench,hits,c5_WindowClientWidth_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,13195,243194.0,243625.0,246869.0
clickbench,hits,c6_CodeVersion_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,91,258,181672.0,182363.0,183885.0
clickbench,hits,c6_CodeVersion_x1,eq_rare,minmax,131072,2048,37888,0.28906250,305152,0,258,52859.0,52959.0,53540.0
clickbench,hits,c6_CodeVersion_x1,eq_rare,bloom,131072,180224,37888,0.28906250,483328,0,258,53830.0,53860.0,53941.0
clickbench,hits,c6_CodeVersion_x1,eq_rare,minmax_bloom,131072,182272,37888,0.28906250,485376,0,258,54362.0,54381.0,54521.0
clickbench,hits,c6_CodeVersion_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,130814,182844.0,183014.0,183024.0
clickbench,hits,c6_CodeVersion_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,130814,183455.0,183635.0,183875.0
clickbench,hits,c6_CodeVersion_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,130814,185758.0,186689.0,187190.0
clickbench,hits,c6_CodeVersion_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,130814,187931.0,188122.0,188422.0
clickbench,hits,c6_CodeVersion_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,180941.0,181051.0,181151.0
clickbench,hits,c6_CodeVersion_x1,eq_absent,minmax,131072,2048,37888,0.28906250,305152,37,0,51878.0,51947.0,52057.0
clickbench,hits,c6_CodeVersion_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,561.0,561.0,561.0
clickbench,hits,c6_CodeVersion_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,791.0,791.0,921.0
clickbench,hits,c6_CodeVersion_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,131072,288822.0,288863.0,290054.0
clickbench,hits,c6_CodeVersion_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,131072,289383.0,289754.0,290214.0
clickbench,hits,c6_CodeVersion_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,131072,293529.0,294000.0,297796.0
clickbench,hits,c6_CodeVersion_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,131072,294741.0,295301.0,299458.0
clickbench,hits,c7_SearchEngineID_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,127,2,180591.0,180780.0,180871.0
clickbench,hits,c7_SearchEngineID_x1,eq_rare,minmax,131072,2048,45056,0.34375000,362496,43,2,62654.0,62753.0,65438.0
clickbench,hits,c7_SearchEngineID_x1,eq_rare,bloom,131072,180224,1024,0.00781250,188416,0,2,1983.0,1993.0,2003.0
clickbench,hits,c7_SearchEngineID_x1,eq_rare,minmax_bloom,131072,182272,1024,0.00781250,190464,0,2,2294.0,2303.0,2314.0
clickbench,hits,c7_SearchEngineID_x1,eq_frequent,scan,131072,0,131072,1.00000000,1048576,0,112007,245217.0,248852.0,251987.0
clickbench,hits,c7_SearchEngineID_x1,eq_frequent,minmax,131072,2048,131072,1.00000000,1050624,0,112007,244586.0,245488.0,248522.0
clickbench,hits,c7_SearchEngineID_x1,eq_frequent,bloom,131072,180224,131072,1.00000000,1228800,0,112007,248823.0,251776.0,255542.0
clickbench,hits,c7_SearchEngineID_x1,eq_frequent,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,112007,249133.0,250115.0,253850.0
clickbench,hits,c7_SearchEngineID_x1,eq_absent,scan,131072,0,131072,1.00000000,1048576,128,0,180931.0,181622.0,182984.0
clickbench,hits,c7_SearchEngineID_x1,eq_absent,minmax,131072,2048,131072,1.00000000,1050624,128,0,181232.0,181732.0,183264.0
clickbench,hits,c7_SearchEngineID_x1,eq_absent,bloom,131072,180224,0,0.00000000,180224,0,0,561.0,561.0,561.0
clickbench,hits,c7_SearchEngineID_x1,eq_absent,minmax_bloom,131072,182272,0,0.00000000,182272,0,0,851.0,871.0,881.0
clickbench,hits,c7_SearchEngineID_x1,in_mixed,scan,131072,0,131072,1.00000000,1048576,0,112009,256013.0,257546.0,261151.0
clickbench,hits,c7_SearchEngineID_x1,in_mixed,minmax,131072,2048,131072,1.00000000,1050624,0,112009,257034.0,258848.0,262743.0
clickbench,hits,c7_SearchEngineID_x1,in_mixed,bloom,131072,180224,131072,1.00000000,1228800,0,112009,260570.0,261862.0,264056.0
clickbench,hits,c7_SearchEngineID_x1,in_mixed,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,112009,261492.0,264175.0,266439.0
clickbench,hits,c8_SendTiming_x1,eq_rare,scan,131072,0,131072,1.00000000,1048576,0,131072,181341.0,181402.0,182403.0
clickbench,hits,c8_SendTiming_x1,eq_rare,minmax,131072,2048,131072,1.00000000,1050624,0,131072,181592.0,182653.0,182974.0
clickbench,hits,c8_SendTiming_x1,eq_rare,bloom,131072,180224,131072,1.00000000,1228800,0,131072,185448.0,185868.0,186279.0
clickbench,hits,c8_SendTiming_x1,eq_rare,minmax_bloom,131072,182272,131072,1.00000000,1230848,0,131072,186209.0,186830.0,188142.0
clickbench,hits,c8_SendTiming_x1,eq_rare,sparse_fence,131072,174768,131072,1.00000000,1223344,0,131072,296894.0,298036.0,300269.0
