plan,query,cells,sources,candidate_fraction_p25,candidate_fraction_median,candidate_fraction_p75,latency_over_scan_median,modeled_bytes_over_scan_median,cell_wins,source_latency_ratio_p25,source_latency_ratio_median,source_latency_ratio_p75,source_median_ci_low,source_median_ci_high,source_wins,false_positive_blocks
bloom,eq_absent,109,33,0.000000,0.000000,0.000000,0.004318,0.171875,109,0.004428,0.005328,0.012686,0.005311,0.009976,33,5
bloom,eq_frequent,109,33,0.253968,1.000000,1.000000,1.000446,1.171875,53,0.543949,0.626350,0.763440,0.545838,0.726906,29,3
bloom,eq_rare,109,33,0.007812,0.064431,0.253968,0.070453,0.241616,102,0.032147,0.071151,0.266533,0.070761,0.259135,33,3
bloom,in_mixed,109,33,0.409600,1.000000,1.000000,1.000825,1.171875,53,0.541336,0.640214,0.760309,0.544246,0.732287,27,10
minmax,eq_absent,109,33,0.007812,0.180800,0.671875,0.189520,0.183200,95,0.101131,0.301747,0.611532,0.257702,0.503234,33,2131
minmax,eq_frequent,109,33,0.473636,1.000000,1.000000,0.994568,1.001953,65,0.535701,0.631325,0.932693,0.555512,0.742265,30,1003
minmax,eq_rare,109,33,0.064431,0.289062,0.908607,0.290240,0.291016,85,0.229742,0.414472,0.632145,0.303436,0.614275,33,2360
minmax,in_mixed,109,33,0.609375,1.000000,1.000000,0.996650,1.001953,66,0.534781,0.706494,0.934679,0.553986,0.737741,31,1057
minmax_bloom,eq_absent,109,33,0.000000,0.000000,0.000000,0.005314,0.173828,109,0.005529,0.007877,0.017467,0.006258,0.013148,33,0
minmax_bloom,eq_frequent,109,33,0.253968,1.000000,1.000000,1.005075,1.173828,50,0.549845,0.635891,0.765082,0.550582,0.734192,28,2
minmax_bloom,eq_rare,109,33,0.007812,0.064431,0.253968,0.073044,0.243629,101,0.033093,0.076120,0.271040,0.073002,0.263567,33,1
minmax_bloom,in_mixed,109,33,0.409600,1.000000,1.000000,1.006962,1.173828,50,0.546892,0.644580,0.765317,0.548818,0.743536,27,7
scan,eq_absent,109,33,1.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,0,8238
scan,eq_frequent,109,33,1.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,0,1993
scan,eq_rare,109,33,1.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,0,6934
scan,in_mixed,109,33,1.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,0,1956
sparse_fence,eq_absent,29,28,0.000755,0.000758,0.004000,0.005565,0.167539,29,0.005542,0.007050,0.032023,0.005555,0.021765,28,29
sparse_fence,eq_frequent,29,28,0.000757,0.002976,0.004202,0.023512,0.169643,26,0.006012,0.023389,0.037507,0.006249,0.035928,26,0
sparse_fence,eq_rare,29,28,0.000757,0.002326,0.004000,0.020062,0.169643,27,0.006012,0.020139,0.037725,0.006022,0.037676,27,0
sparse_fence,in_mixed,29,28,0.000757,0.002976,0.006436,0.025680,0.169643,26,0.006929,0.024906,0.046310,0.007331,0.043656,26,0
