claim,value
WitPairs,40
WitColumns,72
WitSources,32
WitRowsPerColumn,"131,072"
WitCells,152
WitSourceDirectBoundaryMedian,0.33
WitSourceDirectBoundaryCiLow,0.10
WitSourceDirectBoundaryCiHigh,0.51
WitSourceDirectStorageMedian,0.18
WitSourceDirectStorageCiLow,0.07
WitSourceDirectStorageCiHigh,0.25
WitClusterDirectBoundaryMedian,0.33
WitClusterDirectBoundaryCiLow,0.07
WitClusterDirectBoundaryCiHigh,0.53
WitFamilies,12
WitFamilyWins,9
WitFamilySignP,0.073
WitFamilyWilcoxonP,0.052
WitFamilyDirectBoundaryMedian,0.49
WitFamilyDirectBoundaryCiLow,0.13
WitFamilyDirectBoundaryCiHigh,1.23
WitClusterDirectStorageMedian,0.18
WitClusterDirectStorageCiLow,0.05
WitClusterDirectStorageCiHigh,0.37
WitFamilyDirectStorageMedian,0.31
WitFamilyDirectStorageCiLow,0.08
WitFamilyDirectStorageCiHigh,0.60
WitCensusColumns,109
WitCensusSources,33
WitCensusRowsMillions,4.4
WitCensusMonotoneColumns,26.6
WitCensusStructuralAccessReady,0.0
WitCensusCheckedAccessReady,26.6
WitCensusPiecewiseAccessReady,26.6
WitCensusMonotoneSourceWeighted,38.3
WitCensusMonotonePages,18.4
WitCensusSmallDomain,62.4
WitCensusOrderMapping,100.0
WitCensusOrderMappingPremium,0.000
WitCensusStructuralPremiumMedian,0.000
WitCensusSegmentFraction,27.9
WitCensusCandidates,1206
WitDiscoveryShare,0.61
WitDiscoveryShareTenth,0.68
WitDiscoveryShareOnePct,0.66
WitDiscoveryShareTenPct,0.57
WitDiscoveryShareFiftyPct,0.49
WitKnownOverParquet,1.49
WitKnownDirectOverParquet,0.27
WitFilterBeatsScan,114
WitCompleteOverScan,0.66
WitDirectOverStorage,0.15
WitDirectOverBoundary,0.28
WitDirectOverBoundaryLargePage,0.19
WitDirectBeatsBoundary,125
WitStorageBeatsBoundary,26
WitStorageOverBoundary,1.83
WitAccessPremium,2.10
WitSixteenKDirectOverBoundary,0.26
WitSixteenKDirectOverStorage,0.19
WitSixteenKDiscoveryShare,0.61
WitSixteenKDirectBeatsBoundary,133
WitBloomAbsentCells,109
WitBloomAbsentSources,33
WitBloomAbsentCandidate,0.000
WitBloomAbsentModeledBytes,0.172
WitBloomAbsentLatency,0.005
WitBloomAbsentCiLow,0.005
WitBloomAbsentCiHigh,0.010
WitBloomRareCells,109
WitBloomRareSources,33
WitBloomRareCandidate,0.064
WitBloomRareModeledBytes,0.242
WitBloomRareLatency,0.071
WitBloomRareCiLow,0.071
WitBloomRareCiHigh,0.259
WitBloomFrequentCells,109
WitBloomFrequentSources,33
WitBloomFrequentCandidate,1.000
WitBloomFrequentModeledBytes,1.172
WitBloomFrequentLatency,0.626
WitBloomFrequentCiLow,0.546
WitBloomFrequentCiHigh,0.727
WitBloomInCells,109
