column,recipe,bytes,structural_monotone,structural_piecewise_monotone,checked_monotone,order_preserving_mapping,framed,restart_bound,semantic_facts,mapping_facts,access_facts,access_ready
0,Frame(UnsignedDelta@65536(BitPack)),348,true,false,true,false,true,65536,4,0,3,false
0,Frame(Dictionary(BitPack)),351,false,false,true,true,true,,3,2,2,false
0,Frame(FOR(BitPack)),352,false,false,true,true,true,,3,3,2,false
0,Frame(UnsignedDelta@256(BitPack)),357,false,true,true,false,true,256,4,0,3,false
0,Frame(Delta@256(BitPack)),358,false,false,true,false,true,256,3,0,3,false
0,Dictionary(RLE(BitPack)),544,false,false,true,true,false,,3,2,2,true
0,Frame(RLE(FOR(BitPack))),552,false,false,true,true,true,,3,3,3,false
0,Frame(Dictionary(RLE(BitPack))),556,false,false,true,true,true,,3,2,3,false
0,RLE(FOR(BitPack)),592,false,false,true,true,false,,3,3,2,true
0,Dictionary(BitPack),16704,false,false,true,true,false,,3,2,1,true
0,FOR(BitPack),41280,false,false,true,true,false,,3,3,1,true
0,UnsignedDelta@65536(BitPack),41344,true,false,true,false,false,65536,4,0,2,false
0,UnsignedDelta@256(BitPack),43328,false,true,true,false,false,256,4,0,2,true
0,Delta@256(BitPack),51520,false,false,true,false,false,256,3,0,2,true
1,Frame(Dictionary(RLE(BitPack))),9895,false,false,false,true,true,,2,2,3,false
1,Frame(RLE(FOR(BitPack))),10180,false,false,false,true,true,,2,3,3,false
1,Frame(Dictionary(BitPack)),13567,false,false,false,true,true,,2,2,2,false
1,Frame(Delta@256(BitPack)),14138,false,false,false,false,true,256,2,0,3,false
1,Frame(FOR(BitPack)),15456,false,false,false,true,true,,2,3,2,false
1,Dictionary(RLE(BitPack)),24240,false,false,false,true,false,,2,2,2,true
1,RLE(FOR(BitPack)),25520,false,false,false,true,false,,2,3,2,true
1,Dictionary(BitPack),76736,false,false,false,true,false,,2,2,1,true
1,FOR(BitPack),139584,false,false,false,true,false,,2,3,1,true
1,Delta@256(BitPack),149824,false,false,false,false,false,256,2,0,2,true
2,Frame(Dictionary(RLE(BitPack))),8218,false,false,false,true,true,,2,2,3,false
2,Frame(Dictionary(BitPack)),8392,false,false,false,true,true,,2,2,2,false
2,Frame(RLE(FOR(BitPack))),10529,false,false,false,true,true,,2,3,3,false
2,Frame(Delta@256(BitPack)),13178,false,false,false,false,true,256,2,0,3,false
2,Frame(FOR(BitPack)),14347,false,false,false,true,true,,2,3,2,false
2,Dictionary(RLE(BitPack)),23488,false,false,false,true,false,,2,2,2,true
2,RLE(FOR(BitPack)),24848,false,false,false,true,false,,2,3,2,true
2,Dictionary(BitPack),67136,false,false,false,true,false,,2,2,1,true
2,FOR(BitPack),106816,false,false,false,true,false,,2,3,1,true
2,Delta@256(BitPack),117056,false,false,false,false,false,256,2,0,2,true
3,Frame(Dictionary(RLE(BitPack))),8399,false,false,false,true,true,,2,2,3,false
3,Frame(Dictionary(BitPack)),8622,false,false,false,true,true,,2,2,2,false
3,Frame(RLE(FOR(BitPack))),10310,false,false,false,true,true,,2,3,3,false
3,Frame(Delta@256(BitPack)),12156,false,false,false,false,true,256,2,0,3,false
3,Frame(FOR(BitPack)),13858,false,false,false,true,true,,2,3,2,false
3,RLE(FOR(BitPack)),23856,false,false,false,true,false,,2,3,2,true
3,Dictionary(RLE(BitPack)),23936,false,false,false,true,false,,2,2,2,true
3,Dictionary(BitPack),67520,false,false,false,true,false,,2,2,1,true
3,FOR(BitPack),90432,false,false,false,true,false,,2,3,1,true
3,Delta@256(BitPack),100672,false,false,false,false,false,256,2,0,2,true
4,Frame(RLE(FOR(BitPack))),18023,false,false,false,true,true,,2,3,3,false
4,Frame(Dictionary(RLE(BitPack))),18659,false,false,false,true,true,,2,2,3,false
4,Frame(FOR(BitPack)),21967,false,false,false,true,true,,2,3,2,false
4,Frame(Delta@256(BitPack)),23313,false,false,false,false,true,256,2,0,3,false
4,Frame(Dictionary(BitPack)),24578,false,false,false,true,true,,2,2,2,false
4,RLE(FOR(BitPack)),48064,false,false,false,true,false,,2,3,2,true
4,Dictionary(RLE(BitPack)),52512,false,false,false,true,false,,2,2,2,true
4,Dictionary(BitPack),88768,false,false,false,true,false,,2,2,1,true
4,FOR(BitPack),98624,false,false,false,true,false,,2,3,1,true
4,Delta@256(BitPack),108864,false,false,false,false,false,256,2,0,2,true
5,Frame(Dictionary(BitPack)),583,false,false,false,true,true,,2,2,2,false
5,Frame(Delta@256(BitPack)),721,false,false,false,false,true,256,2,0,3,false
5,Frame(FOR(BitPack)),792,false,false,false,true,true,,2,3,2,false
5,Frame(Dictionary(RLE(BitPack))),808,false,false,false,true,true,,2,2,3,false
5,Frame(RLE(FOR(BitPack))),810,false,false,false,true,true,,2,3,3,false
5,Dictionary(RLE(BitPack)),1040,false,false,false,true,false,,2,2,2,true
5,RLE(FOR(BitPack)),1200,false,false,false,true,false,,2,3,2,true
5,Dictionary(BitPack),8512,false,false,false,true,false,,2,2,1,true
5,FOR(BitPack),90432,false,false,false,true,false,,2,3,1,true
5,Delta@256(BitPack),100672,false,false,false,false,false,256,2,0,2,true
6,Frame(FOR(BitPack)),7632,false,false,false,true,true,,2,3,2,false
6,Frame(Dictionary(BitPack)),8021,false,false,false,true,true,,2,2,2,false
6,Frame(RLE(FOR(BitPack))),9328,false,false,false,true,true,,2,3,3,false
6,Frame(Dictionary(RLE(BitPack))),9580,false,false,false,true,true,,2,2,3,false
6,Frame(Delta@256(BitPack)),10419,false,false,false,false,true,256,2,0,3,false
6,Dictionary(RLE(BitPack)),36912,false,false,false,true,false,,2,2,2,true
6,RLE(FOR(BitPack)),39616,false,false,false,true,false,,2,3,2,true
6,Dictionary(BitPack),41408,false,false,false,true,false,,2,2,1,true
6,FOR(BitPack),65856,false,false,false,true,false,,2,3,1,true
6,Delta@256(BitPack),76096,false,false,false,false,false,256,2,0,2,true
7,Dictionary(BitPack),320,false,false,true,true,false,,3,2,1,true
7,FOR(BitPack),320,false,false,true,true,false,,3,3,1,true
7,Frame(Dictionary(BitPack)),337,false,false,true,true,true,,3,2,2,false
7,Frame(FOR(BitPack)),337,false,false,true,true,true,,3,3,2,false
7,Frame(UnsignedDelta@65536(BitPack)),337,true,false,true,false,true,65536,4,0,3,false
7,Frame(Delta@256(BitPack)),339,false,false,true,false,true,256,3,0,3,false
7,Frame(UnsignedDelta@256(BitPack)),339,false,true,true,false,true,256,4,0,3,false
7,UnsignedDelta@65536(BitPack),384,true,false,true,false,false,65536,4,0,2,false
7,Dictionary(RLE(BitPack)),512,false,false,true,true,false,,3,2,2,true
7,RLE(FOR(BitPack)),512,false,false,true,true,false,,3,3,2,true
7,Frame(RLE(FOR(BitPack))),536,false,false,true,true,true,,3,3,3,false
7,Frame(Dictionary(RLE(BitPack))),538,false,false,true,true,true,,3,2,3,false
7,Delta@256(BitPack),2368,false,false,true,false,false,256,3,0,2,true
7,UnsignedDelta@256(BitPack),2368,false,true,true,false,false,256,4,0,2,true
8,Frame(Delta@256(BitPack)),70095,false,false,false,false,true,256,2,0,3,false
8,Frame(RLE(FOR(BitPack))),89782,false,false,false,true,true,,2,3,3,false
8,Frame(Dictionary(RLE(BitPack))),111534,false,false,false,true,true,,2,2,3,false
