column,group,source,name,rows,nulls,unique_non_null,global_monotone_non_null,null_placement,distinct_non_null,max_rank_displacement,monotone_segment_rows_ge_128,monotone_segments_ge_128,smallest_candidate_bytes,smallest_access_ready_bytes,structural_monotone_bytes,structural_monotone_premium,structural_monotone_access_ready_bytes,checked_monotone_access_ready_bytes,structural_piecewise_access_ready_bytes,order_mapping_access_ready_bytes,order_mapping_access_ready_premium
0,clickbench,hits,c1_CounterID_x1,65536,0,3,true,none,false,0,65536,1,348,544,348,0.000000,,544,43328,544,0.000000
1,clickbench,hits,c2_RegionID_x1,65536,0,337,false,none,false,65300,16537,91,9895,24240,,,,,,24240,0.000000
2,clickbench,hits,c3_ResolutionWidth_x1,65536,0,166,false,none,false,65413,13614,77,8218,23488,,,,,,23488,0.000000
3,clickbench,hits,c4_ResolutionHeight_x1,65536,0,209,false,none,false,65226,13822,77,8399,23856,,,,,,23856,0.000000
4,clickbench,hits,c5_WindowClientWidth_x1,65536,0,817,false,none,false,65018,3313,23,18023,48064,,,,,,48064,0.000000
5,clickbench,hits,c6_CodeVersion_x1,65536,0,2,false,none,false,60818,64583,42,583,1040,,,,,,1040,0.000000
6,clickbench,hits,c7_SearchEngineID_x1,65536,0,20,false,none,false,64291,6684,39,7632,36912,,,,,,36912,0.000000
7,clickbench,hits,c8_SendTiming_x1,65536,0,1,true,none,false,0,65536,1,320,320,337,0.053125,,320,2368,320,0.000000
8,clickbench,hits,timestamp,65536,0,29154,false,none,false,64525,10483,61,70095,139584,,,,,,139584,0.000000
9,household,uci_household_power,global_active_power_x1000,65536,6,3237,false,arbitrary,false,65432,0,0,77063,124416,,,,,,124416,0.000000
10,household,uci_household_power,global_intensity_x10,65536,6,189,false,arbitrary,false,65413,0,0,36068,76736,,,,,,76736,0.000000
11,household,uci_household_power,global_reactive_power_x1000,65536,6,366,false,arbitrary,false,65054,0,0,53698,86336,,,,,,86336,0.000000
12,household,uci_household_power,sub_metering_1_x1,65536,6,60,false,arbitrary,false,63379,59068,53,4209,27280,,,,,,27280,0.000000
13,household,uci_household_power,sub_metering_2_x1,65536,6,77,false,arbitrary,false,64337,4169,30,9971,67072,,,,,,67072,0.000000
14,household,uci_household_power,sub_metering_3_x1,65536,6,21,false,arbitrary,false,63659,34927,108,8581,50688,,,,,,50688,0.000000
15,household,uci_household_power,timestamp,65536,0,65536,true,none,true,0,65536,1,348,51520,348,0.000000,,51520,51520,180544,2.504348
16,household,uci_household_power,voltage_x100,65536,6,2147,false,arbitrary,false,64790,0,0,83062,101952,,,,,,108032,0.059636
17,large,yellow_tripdata_2024-01,Airport_fee,65536,0,3,false,none,false,64798,14132,52,5202,16704,,,,,,16704,0.000000
18,large,yellow_tripdata_2024-01,DOLocationID,65536,0,250,false,none,false,64971,0,0,53141,67840,,,,,,67840,0.000000
19,large,yellow_tripdata_2024-01,PULocationID,65536,0,199,false,none,false,65113,0,0,47844,67392,,,,,,67392,0.000000
20,large,yellow_tripdata_2024-01,RatecodeID,65536,0,7,false,none,false,65159,4530,26,6646,24896,,,,,,24896,0.000000
21,large,yellow_tripdata_2024-01,VendorID,65536,0,2,false,none,false,51397,0,0,6154,8512,,,,,,8512,0.000000
22,large,yellow_tripdata_2024-01,congestion_surcharge,65536,0,4,false,none,false,64632,564,4,6224,16704,,,,,,16704,0.000000
23,large,yellow_tripdata_2024-01,extra,65536,0,23,false,none,false,65037,0,0,18025,41408,,,,,,41408,0.000000
24,large,yellow_tripdata_2024-01,fare_amount,65536,0,771,false,none,false,65366,0,0,76891,88384,,,,,,88384,0.000000
25,large,yellow_tripdata_2024-01,improvement_surcharge,65536,0,3,false,none,false,64421,28334,145,2235,10304,,,,,,10304,0.000000
26,large,yellow_tripdata_2024-01,mta_tax,65536,0,3,false,none,false,64482,8270,51,3746,16704,,,,,,16704,0.000000
27,large,yellow_tripdata_2024-01,passenger_count,65536,0,8,false,none,false,64781,0,0,14877,24896,,,,,,24896,0.000000
28,large,yellow_tripdata_2024-01,payment_type,65536,0,4,false,none,false,64029,0,0,8641,16704,,,,,,16704,0.000000
29,large,yellow_tripdata_2024-01,tip_amount,65536,0,1808,false,none,false,64863,0,0,83978,104832,,,,,,104832,0.000000
30,large,yellow_tripdata_2024-01,tolls_amount,65536,0,167,false,none,false,64918,3394,21,9164,57536,,,,,,57536,0.000000
31,large,yellow_tripdata_2024-01,total_amount,65536,0,5116,false,none,false,65371,0,0,112475,139584,,,,,,139584,0.000000
32,large,yellow_tripdata_2024-01,tpep_dropoff_datetime,65536,0,41081,false,none,false,61469,0,0,241314,409920,,,,,,409920,0.000000
33,large,yellow_tripdata_2024-01,tpep_pickup_datetime,65536,0,40838,false,none,false,53119,0,0,234609,409920,,,,,,409920,0.000000
34,large,yellow_tripdata_2024-01,trip_distance,65536,0,2524,false,none,false,65161,0,0,95445,106816,,,,,,106816,0.000000
35,nab,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de,timestamp,4730,0,4719,true,none,false,0,4730,1,368,7616,368,0.000000,,7616,7616,12752,0.674370
36,nab,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de,value_x10,4730,0,448,false,none,false,4080,2158,8,2390,5648,,,,,,5648,0.000000
37,nab,realAWSCloudwatch/ec2_disk_write_bytes_c0d644,timestamp,4032,0,4032,true,none,true,0,4032,1,361,5056,361,0.000000,,5056,5056,11072,1.189873
38,nab,realAWSCloudwatch/ec2_disk_write_bytes_c0d644,value_x10,4032,0,677,false,none,false,3966,893,3,3567,9024,,,,,,9024,0.000000
39,nab,realAWSCloudwatch/ec2_network_in_257a54,timestamp,4032,0,4032,true,none,true,0,4032,1,371,5568,371,0.000000,,5568,5568,11072,0.988506
40,nab,realAWSCloudwatch/ec2_network_in_257a54,value_x10,4032,0,3938,false,none,false,3932,0,0,13212,16704,,,,,,16704,0.000000
41,nab,realAWSCloudwatch/ec2_network_in_5abac7,timestamp,4730,0,4719,true,none,false,0,4730,1,369,7616,369,0.000000,,7616,7616,12752,0.674370
42,nab,realAWSCloudwatch/ec2_network_in_5abac7,value_x100,4730,0,558,false,none,false,4171,0,0,4849,10656,,,,,,10656,0.000000
43,nab,realAWSCloudwatch/elb_request_count_8c0756,timestamp,4032,0,4032,true,none,true,0,4032,1,409,5568,409,0.000000,,5568,5568,11072,0.988506
44,nab,realAWSCloudwatch/elb_request_count_8c0756,value_x1,4032,0,269,false,none,false,3883,0,0,4863,5440,,,,,,5440,0.000000
