group,source,columns,rows,global_monotone_columns,page_1024_total,page_1024_monotone,page_16384_total,page_16384_monotone,structural_monotone_columns
clickbench,hits,9,589824,2,576,164,36,8,2
household,uci_household_power,8,524288,1,512,85,32,4,1
large,yellow_tripdata_2024-01,18,1179648,0,1152,0,72,0,0
nab,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de,2,9460,1,10,5,2,1,1
nab,realAWSCloudwatch/ec2_disk_write_bytes_c0d644,2,8064,1,8,4,2,1,1
nab,realAWSCloudwatch/ec2_network_in_257a54,2,8064,1,8,4,2,1,1
nab,realAWSCloudwatch/ec2_network_in_5abac7,2,9460,1,10,5,2,1,1
nab,realAWSCloudwatch/elb_request_count_8c0756,2,8064,1,8,4,2,1,1
nab,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn,2,2486,1,4,2,2,1,1
nab,realKnownCause/nyc_taxi,2,20640,1,22,11,2,1,1
nab,realTraffic/TravelTime_387,2,5000,1,6,3,2,1,1
nab,realTraffic/TravelTime_451,2,4324,1,6,3,2,1,1
nab,realTraffic/occupancy_6005,2,4760,1,6,3,2,1,1
nab,realTraffic/occupancy_t4013,2,5000,1,6,3,2,1,1
nab,realTraffic/speed_6005,2,5000,1,6,3,2,1,1
nab,realTraffic/speed_7578,2,2254,1,4,2,2,1,1
nab,realTraffic/speed_t4013,2,4990,1,6,3,2,1,1
nab,realTweets/Twitter_volume_AAPL,2,31804,1,32,16,2,1,1
nab,realTweets/Twitter_volume_AMZN,2,31662,1,32,16,2,1,1
nab,realTweets/Twitter_volume_CRM,2,31804,1,32,16,2,1,1
nab,realTweets/Twitter_volume_CVS,2,31706,1,32,16,2,1,1
nab,realTweets/Twitter_volume_FB,2,31666,1,32,16,2,1,1
nab,realTweets/Twitter_volume_GOOG,2,31684,1,32,16,2,1,1
nab,realTweets/Twitter_volume_IBM,2,31786,1,32,16,2,1,1
nab,realTweets/Twitter_volume_KO,2,31702,1,32,16,2,1,1
nab,realTweets/Twitter_volume_PFE,2,31716,1,32,16,2,1,1
nab,realTweets/Twitter_volume_UPS,2,31732,1,32,16,2,1,1
publicbi,Arade,2,131072,0,128,0,8,0,0
publicbi,Bimbo,6,393216,0,384,109,24,2,0
publicbi,CMSprovider,2,131072,0,128,0,8,0,0
publicbi,Euro2016,1,65536,0,64,0,4,0,0
publicbi,Generico,6,393216,1,384,161,24,4,1
tpch,lineitem,9,589824,1,576,64,36,4,1
