metric,value
columns,109
sources,33
rows,4412524
global_monotone_columns,29
global_monotone_column_fraction,0.266055
global_monotone_source_weighted_fraction,0.382576
global_monotone_row_fraction,0.121268
global_k_displaced_le_0_fraction,0.266055
global_k_displaced_le_1_fraction,0.266055
global_k_displaced_le_4_fraction,0.266055
global_k_displaced_le_16_fraction,0.266055
global_k_displaced_le_64_fraction,0.266055
global_k_displaced_le_256_fraction,0.266055
page_1024_monotone_fraction,0.184126
page_1024_k_displaced_le_0_fraction,0.184126
page_1024_k_displaced_le_1_fraction,0.184126
page_1024_k_displaced_le_4_fraction,0.184356
page_1024_k_displaced_le_16_fraction,0.184356
page_1024_k_displaced_le_64_fraction,0.186894
page_1024_k_displaced_le_256_fraction,0.199585
page_16384_monotone_fraction,0.157534
page_16384_k_displaced_le_0_fraction,0.157534
page_16384_k_displaced_le_1_fraction,0.157534
page_16384_k_displaced_le_4_fraction,0.157534
page_16384_k_displaced_le_16_fraction,0.157534
page_16384_k_displaced_le_64_fraction,0.157534
page_16384_k_displaced_le_256_fraction,0.157534
monotone_segment_rows_ge_128_fraction,0.279375
structural_monotone_candidate_columns,29
structural_monotone_candidate_fraction,0.266055
structural_monotone_premium_median,0.000000
structural_monotone_access_ready_columns,0
structural_monotone_access_ready_columns_fraction,0.000000
checked_monotone_access_ready_columns,29
checked_monotone_access_ready_columns_fraction,0.266055
structural_piecewise_access_ready_columns,29
structural_piecewise_access_ready_columns_fraction,0.266055
order_mapping_access_ready_columns,109
order_mapping_access_ready_columns_fraction,1.000000
order_mapping_access_ready_premium_median,0.000000
small_domain_columns,68
small_domain_column_fraction,0.623853
candidate_rows,1206
