pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
0,0.1pct,generated_selective,1034808.0,1034889.0,1034979.0,18699,131,301520,153988,153988,4,2,131072,131,131072,918,153988,0,0,false
0,0.1pct,generated_fused,1249550.0,1251322.0,1253867.0,18699,131,342177,153988,153988,2,2,131072,131072,131072,23221,153988,0,0,false
0,0.1pct,generated_direct_selective,547078.7,548033.7,549953.0,18699,131,281944,288216,288216,90,0,131072,131,131073,918,324688,0,0,false
0,0.1pct,generated_scan_selective,1035079.0,1035159.0,1036711.0,18699,131,301520,153988,153988,4,2,131072,131,131072,918,153988,0,0,false
0,0.1pct,parquet_full,1404782.0,1405243.0,1406405.0,18699,131,0,306161,306161,259,0,131072,131,131072,131,306165,0,0,false
0,0.1pct,parquet_boundary_search_p4096,910813.0,913567.0,917127.5,18699,131,0,274511,274511,54,0,131072,131,131072,131,294200,32,32,false
0,0.1pct,parquet_boundary_search_p16384,775555.5,780983.5,782526.0,18699,131,0,306844,306844,19,0,131072,131,131072,131,306848,8,8,false
0,0.1pct,parquet_boundary_search,1137412.0,1137983.0,1139635.0,18699,131,0,262320,262320,158,0,131072,131,131072,131,306165,128,128,false
0,0.1pct,parquet_row_filter,1132725.0,1135189.0,1138354.0,18699,131,0,262320,262320,158,0,131072,131,131072,131,306165,0,0,false
0,0.1pct,parquet_page_index_filter,1132986.0,1133486.0,1133947.0,18699,131,0,262320,262320,158,0,131072,131,131072,131,306165,128,128,false
0,1pct,generated_selective,1069911.0,1070943.0,1071033.0,354688,1315,309259,153988,153988,4,2,131072,1315,131072,4548,153988,0,0,false
0,1pct,generated_fused,1254497.0,1256901.0,1257372.0,354688,1315,342177,153988,153988,2,2,131072,131072,131072,23221,153988,0,0,false
0,1pct,generated_direct_selective,578475.7,579807.7,580438.7,354688,1315,289683,304512,304512,220,0,131072,1315,131073,4548,324688,0,0,false
0,1pct,generated_scan_selective,1070171.0,1071093.0,1071653.0,354688,1315,309259,153988,153988,4,2,131072,1315,131072,4548,153988,0,0,false
0,1pct,parquet_full,1406184.0,1417732.0,1419113.0,354688,1315,0,306161,306161,259,0,131072,1315,131072,1315,306165,0,0,false
0,1pct,parquet_boundary_search_p4096,1114067.0,1116741.0,1117863.0,354688,1315,0,294196,294196,67,0,131072,1315,131072,1315,294200,32,32,false
0,1pct,parquet_boundary_search_p16384,841800.0,843647.5,844994.5,354688,1315,0,306844,306844,19,0,131072,1315,131072,1315,306848,8,8,false
0,1pct,parquet_boundary_search,1389589.0,1391433.0,1393796.0,354688,1315,0,289045,289045,219,0,131072,1315,131072,1315,306165,128,128,false
0,1pct,parquet_row_filter,1392173.0,1392193.0,1393135.0,354688,1315,0,289045,289045,219,0,131072,1315,131072,1315,306165,0,0,false
0,1pct,parquet_page_index_filter,1385694.0,1394737.0,1396920.0,354688,1315,0,289045,289045,219,0,131072,1315,131072,1315,306165,128,128,false
0,10pct,generated_selective,1301668.0,1302629.0,1305354.0,12713468,13109,328828,153988,153988,4,2,131072,13109,131072,29885,153988,0,0,false
0,10pct,generated_fused,1273686.0,1277281.0,1278704.0,12713468,13109,342177,153988,153988,2,2,131072,131072,131072,23221,153988,0,0,false
0,10pct,generated_direct_selective,810823.0,811044.0,817619.0,12713468,13109,309252,323284,323284,380,0,131072,13109,131073,29885,324688,0,0,false
0,10pct,generated_scan_selective,1295028.0,1296541.0,1299334.0,12713468,13109,328828,153988,153988,4,2,131072,13109,131072,29885,153988,0,0,false
0,10pct,parquet_full,1431412.0,1436119.0,1437892.0,12713468,13109,0,306161,306161,259,0,131072,13109,131072,13109,306165,0,0,false
0,10pct,parquet_boundary_search_p4096,1462449.0,1463910.0,1465493.0,12713468,13109,0,294196,294196,67,0,131072,13109,131072,13109,294200,32,32,false
0,10pct,parquet_boundary_search_p16384,1179876.0,1180096.0,1180927.0,12713468,13109,0,306844,306844,19,0,131072,13109,131072,13109,306848,8,8,false
0,10pct,parquet_boundary_search,1872021.0,1874215.0,1876809.0,12713468,13109,0,306161,306161,259,0,131072,13109,131072,13109,306165,128,128,false
0,10pct,parquet_row_filter,1864871.0,1866283.0,1868005.0,12713468,13109,0,306161,306161,259,0,131072,13109,131072,13109,306165,0,0,false
