pair,predicate,actual_selectivity,known_gen_ns,known_direct_gen_ns,known_fused_ns,known_parquet_ns,complete_gen_ns,complete_direct_gen_ns,complete_fused_ns,complete_scan_ns,parquet_full_ns,parquet_filter_ns,parquet_boundary_ns,parquet_boundary_p4096_ns,parquet_boundary_p16384_ns,known_gen_over_parquet,known_direct_gen_over_parquet,complete_gen_over_scan,complete_gen_over_parquet_full,complete_gen_over_parquet_filter,complete_gen_over_parquet_boundary,complete_gen_over_parquet_boundary_p4096,complete_gen_over_parquet_boundary_p16384,complete_direct_gen_over_parquet_boundary,complete_direct_gen_over_parquet_boundary_p16384,complete_direct_gen_over_storage_gen,discovery_multiplier,discovery_share,direct_discovery_share
0,0.1pct,0.00099945,47492.3,8093.1,261794.6,77581.3,1034889.0,548033.7,1251322.0,1035159.0,1405243.0,1135189.0,1137983.0,913567.0,780983.5,0.6122,0.1043,0.9997,0.7364,0.9116,0.9094,1.1328,1.3251,0.4816,0.7017,0.5296,21.7907,0.9541,0.9852
0,10pct,0.10001373,302287.5,264567.3,274183.1,738119.5,1302629.0,811044.0,1277281.0,1296541.0,1436119.0,1866283.0,1874215.0,1463910.0,1180096.0,0.4095,0.3584,1.0047,0.9070,0.6980,0.6950,0.8898,1.1038,0.4327,0.6873,0.6226,4.3092,0.7679,0.6738
0,1pct,0.01003265,81058.0,40232.2,265102.4,264389.0,1070943.0,579807.7,1256901.0,1071093.0,1417732.0,1392193.0,1391433.0,1116741.0,843647.5,0.3066,0.1522,0.9999,0.7554,0.7692,0.7697,0.9590,1.2694,0.4167,0.6873,0.5414,13.2121,0.9243,0.9306
0,50pct,0.50000763,773928.5,741895.0,296208.3,702626.5,1810760.0,1333476.0,1346455.0,1816549.0,1493676.0,1884300.0,1899362.0,1459594.0,1175309.0,1.1015,1.0559,0.9968,1.2123,0.9610,0.9534,1.2406,1.5407,0.7021,1.1346,0.7364,2.3397,0.5726,0.4436
1,0.1pct,0.00099945,47532.8,7706.5,259956.1,77569.4,1034839.0,546170.7,1244032.0,1034708.0,1382399.0,1140407.0,1140367.0,905345.0,730918.5,0.6128,0.0993,1.0001,0.7486,0.9074,0.9075,1.1430,1.4158,0.4789,0.7472,0.5278,21.7711,0.9541,0.9859
1,10pct,0.10001373,297685.5,260082.0,273350.4,699757.0,1298824.0,807573.5,1274467.0,1298643.0,1407837.0,1818651.0,1831110.0,1409469.0,1106877.0,0.4254,0.3717,1.0001,0.9226,0.7142,0.7093,0.9215,1.1734,0.4410,0.7296,0.6218,4.3631,0.7708,0.6779
1,1pct,0.01003265,78381.5,38574.0,259461.1,243936.4,1066747.0,579367.0,1249530.0,1068619.0,1385112.0,1366275.0,1374988.0,1091083.0,811830.0,0.3213,0.1581,0.9982,0.7702,0.7808,0.7758,0.9777,1.3140,0.4214,0.7137,0.5431,13.6097,0.9265,0.9334
1,50pct,0.50000763,764048.5,738425.0,298607.0,663267.5,1808116.0,1312384.0,1349670.0,1804020.0,1508487.0,1843248.0,1877790.0,1451803.0,1151474.0,1.1519,1.1133,1.0023,1.1986,0.9809,0.9629,1.2454,1.5703,0.6989,1.1397,0.7258,2.3665,0.5774,0.4373
2,0.1pct,0.00099945,1480.8,1468.6,833802.5,28571.4,975204.5,544444.7,1822978.0,977458.0,1043161.0,1056541.0,1060037.0,766557.0,518499.3,0.0518,0.0514,0.9977,0.9349,0.9230,0.9200,1.2722,1.8808,0.5136,1.0500,0.5583,658.5660,0.9985,0.9973
2,10pct,0.10001373,114757.1,114803.0,855895.5,220601.4,1116771.0,672250.5,1850759.0,1116511.0,1068900.0,1306455.0,1310391.0,950612.5,681199.0,0.5202,0.5204,1.0002,1.0448,0.8548,0.8522,1.1748,1.6394,0.5130,0.9869,0.6020,9.7316,0.8972,0.8292
2,1pct,0.01003265,12170.0,12183.2,833662.5,71978.5,993061.5,554486.3,1815677.0,991028.0,1043712.0,1110883.0,1132064.0,802200.5,539607.3,0.1691,0.1693,1.0021,0.9515,0.8939,0.8772,1.2379,1.8403,0.4898,1.0276,0.5584,81.5991,0.9877,0.9780
2,50pct,0.50000763,552717.3,548991.7,896456.5,379798.4,1604421.0,1147157.0,1935697.0,1606294.0,1160978.0,1515148.0,1537351.0,1193876.0,927257.5,1.4553,1.4455,0.9988,1.3820,1.0589,1.0436,1.3439,1.7303,0.7462,1.2372,0.7150,2.9028,0.6555,0.5214
3,0.1pct,0.00099945,264174.0,2912.3,2287803.0,21015.0,291524.7,3657.1,2284869.0,886827.5,743407.5,439723.0,30769.8,49840.5,150082.1,12.5707,0.1386,0.3287,0.3921,0.6630,9.4744,5.8492,1.9424,0.1189,0.0244,0.0125,1.1035,0.0938,0.2037
