pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
0,0.1pct,generated_selective,47487.3,47492.3,47498.3,18699,131,3216,18507,18507,2,1,0,131,0,918,18507,0,0,false
0,0.1pct,generated_fused,261753.1,261794.6,262391.1,18699,131,43873,18507,18507,1,1,0,131072,0,23221,18507,0,0,false
0,0.1pct,generated_direct_selective,8091.7,8093.1,8096.1,18699,131,3152,9424,9424,87,0,0,131,0,918,45840,0,0,false
0,0.1pct,parquet_row_selection,77432.0,77581.3,77784.7,18699,131,0,20872,20872,30,0,0,131,0,131,306165,0,0,false
0,1pct,generated_selective,81043.8,81058.0,81072.2,354688,1315,10955,18507,18507,2,1,0,1315,0,4548,18507,0,0,false
0,1pct,generated_fused,264591.6,265102.4,265128.1,354688,1315,43873,18507,18507,1,1,0,131072,0,23221,18507,0,0,false
0,1pct,generated_direct_selective,40197.5,40232.2,40237.2,354688,1315,10891,25720,25720,217,0,0,1315,0,4548,45840,0,0,false
0,1pct,parquet_row_selection,258468.5,264389.0,265455.7,354688,1315,0,47597,47597,91,0,0,1315,0,1315,306165,0,0,false
0,10pct,generated_selective,302052.0,302287.5,303113.5,12713468,13109,30524,18507,18507,2,1,0,13109,0,29885,18507,0,0,false
0,10pct,generated_fused,274164.6,274183.1,274281.9,12713468,13109,43873,18507,18507,1,1,0,131072,0,23221,18507,0,0,false
0,10pct,generated_direct_selective,264445.7,264567.3,264760.4,12713468,13109,30460,44492,44492,377,0,0,13109,0,29885,45840,0,0,false
0,10pct,parquet_row_selection,734820.0,738119.5,742351.0,12713468,13109,0,64713,64713,131,0,0,13109,0,13109,306165,0,0,false
0,50pct,generated_selective,773342.0,773928.5,774393.5,81828882,65537,41951,18507,18507,2,1,0,65537,0,81573,18507,0,0,false
0,50pct,generated_fused,295951.2,296208.3,299453.2,81828882,65537,43873,18507,18507,1,1,0,131072,0,23221,18507,0,0,false
0,50pct,generated_direct_selective,740273.0,741895.0,743447.5,81828882,65537,41887,45796,45796,393,0,0,65537,0,81573,45840,0,0,false
0,50pct,parquet_row_selection,697223.0,702626.5,705921.0,81828882,65537,0,64713,64713,131,0,0,65537,0,65537,306165,0,0,false
1,0.1pct,generated_selective,47524.8,47532.8,47632.8,212778,131,3042,15534,15534,2,1,0,131,0,877,15534,0,0,false
1,0.1pct,generated_fused,259608.4,259956.1,260132.1,212778,131,42739,15534,15534,1,1,0,131072,0,24235,15534,0,0,false
1,0.1pct,generated_direct_selective,7703.4,7706.5,7708.7,212778,131,2978,9520,9520,91,0,0,131,0,877,44800,0,0,false
1,0.1pct,parquet_row_selection,75682.9,77569.4,78573.0,212778,131,0,19868,19868,30,0,0,131,0,131,301871,0,0,false
1,1pct,generated_selective,78343.9,78381.5,78422.8,2161371,1315,10523,15534,15534,2,1,0,1315,0,4395,15534,0,0,false
1,1pct,generated_fused,259255.1,259461.1,259561.3,2161371,1315,42739,15534,15534,1,1,0,131072,0,24235,15534,0,0,false
1,1pct,generated_direct_selective,38573.0,38574.0,38575.2,2161371,1315,10459,26096,26096,226,0,0,1315,0,4395,44800,0,0,false
1,1pct,parquet_row_selection,243505.9,243936.4,245530.3,2161371,1315,0,44684,44684,91,0,0,1315,0,1315,301871,0,0,false
1,10pct,generated_selective,297490.2,297685.5,298334.8,21125021,13109,29877,15534,15534,2,1,0,13109,0,29595,15534,0,0,false
1,10pct,generated_fused,273211.7,273350.4,273490.7,21125021,13109,42739,15534,15534,1,1,0,131072,0,24235,15534,0,0,false
