pair,class,selector_kind,group,source,selector_column,selector_name,selector_recipe,selector_non_decreasing,value_column,value_name,value_recipe,rows,gen_bytes,direct_gen_bytes,parquet_bytes_p1024,parquet_bytes_p4096,parquet_bytes_p16384
0,"analytical","timestamp","clickbench","hits_timestamp",0,"c0_timestamp_x1","Frame(Delta(BitPack))",false,1,"c2_RegionID_x1","Frame(Dictionary(RLE(BitPack)))",131072,153988,324688,306165,294200,306848
1,"analytical","timestamp","clickbench","hits_timestamp",0,"c0_timestamp_x1","Frame(Delta(BitPack))",false,2,"c3_ResolutionWidth_x1","Frame(Dictionary(RLE(BitPack)))",131072,151015,323648,301871,289812,302577
2,"analytical","timestamp","clickbench","hits_timestamp",0,"c0_timestamp_x1","Frame(Delta(BitPack))",false,3,"c8_SendTiming_x1","Dictionary(BitPack)",131072,135801,279168,255383,246506,260171
3,"structured","timestamp","household","uci_household_power",4,"timestamp","Frame(UnsignedDelta(BitPack))",true,5,"global_active_power_x1000","Frame(Nullable(Delta(BitPack)))",131072,149387,620608,196785,180873,181371
4,"structured","timestamp","household","uci_household_power",4,"timestamp","Frame(UnsignedDelta(BitPack))",true,6,"global_reactive_power_x1000","Frame(Nullable(Delta(BitPack)))",131072,105311,546560,142510,123814,119299
5,"structured","timestamp","nab","realAWSCloudwatch/ec2_disk_write_bytes_1ef3de",7,"timestamp","Frame(UnsignedDelta(BitPack))",true,8,"value_x10","Frame(FOR(BitPack))",4730,2845,18400,5028,4531,4361
6,"structured","timestamp","nab","realAWSCloudwatch/ec2_disk_write_bytes_c0d644",9,"timestamp","Frame(Delta(BitPack))",true,10,"value_x10","Frame(FOR(BitPack))",4032,3988,20096,6511,5980,5980
7,"structured","timestamp","nab","realAWSCloudwatch/ec2_network_in_257a54",11,"timestamp","Frame(UnsignedDelta(BitPack))",true,12,"value_x10","Frame(FOR(BitPack))",4032,13655,27776,13511,13073,13073
8,"structured","timestamp","nab","realAWSCloudwatch/ec2_network_in_5abac7",13,"timestamp","Frame(UnsignedDelta(BitPack))",true,14,"value_x100","Frame(Dictionary(BitPack))",4730,5306,23408,12616,12076,12330
9,"structured","timestamp","nab","realAWSCloudwatch/elb_request_count_8c0756",15,"timestamp","Frame(UnsignedDelta(BitPack))",true,16,"value_x1","Frame(FOR(BitPack))",4032,5347,16512,5995,5558,5558
