pair,predicate,requested_selectivities,low,high,selected_rows,actual_selectivity,ranges
0,0.1pct,0.001,1373872571,1373872621,131,0.00099945,30
0,1pct,0.010,1373872225,1373872971,1315,0.01003265,150
0,10pct,0.100,1373868069,1373876373,13109,0.10001373,994
0,50pct,0.500,1373851812,1373894023,65537,0.50000763,2584
1,0.1pct,0.001,1373872571,1373872621,131,0.00099945,30
1,1pct,0.010,1373872225,1373872971,1315,0.01003265,150
1,10pct,0.100,1373868069,1373876373,13109,0.10001373,994
1,50pct,0.500,1373851812,1373894023,65537,0.50000763,2584
2,0.1pct,0.001,1373872571,1373872621,131,0.00099945,30
2,1pct,0.010,1373872225,1373872971,1315,0.01003265,150
2,10pct,0.100,1373868069,1373876373,13109,0.10001373,994
2,50pct,0.500,1373851812,1373894023,65537,0.50000763,2584
3,0.1pct,0.001,1170218040,1170225840,131,0.00099945,1
3,1pct,0.010,1170182700,1170261240,1310,0.00999451,1
3,10pct,0.100,1169828760,1170615120,13107,0.09999847,1
3,50pct,0.500,1168255920,1172188020,65536,0.50000000,1
4,0.1pct,0.001,1170218040,1170225840,131,0.00099945,1
4,1pct,0.010,1170182700,1170261240,1310,0.00999451,1
4,10pct,0.100,1169828760,1170615120,13107,0.09999847,1
4,50pct,0.500,1168255920,1172188020,65536,0.50000000,1
5,0.1pct,0.001,1394404140,1394405040,4,0.00084567,1
5,1pct,0.010,1394397540,1394411340,47,0.00993658,1
5,10pct,0.100,1394334000,1394475240,483,0.10211416,1
5,50pct,0.500,1394049840,1394759040,2365,0.50000000,1
6,0.1pct,0.001,1397052900,1397053800,4,0.00099206,1
6,1pct,0.010,1397047500,1397059200,40,0.00992063,1
6,10pct,0.100,1396992900,1397113500,403,0.09995040,1
6,50pct,0.500,1396751100,1397355600,2016,0.50000000,1
7,0.1pct,0.001,1397693040,1397693940,4,0.00099206,1
7,1pct,0.010,1397687640,1397699340,40,0.00992063,1
7,10pct,0.100,1397633040,1397753640,403,0.09995040,1
7,50pct,0.500,1397390940,1397995740,2016,0.50000000,1
8,0.1pct,0.001,1394404260,1394405160,4,0.00084567,1
8,1pct,0.010,1394397660,1394411460,47,0.00993658,1
8,10pct,0.100,1394334000,1394475360,484,0.10232558,1
8,50pct,0.500,1394049960,1394759160,2365,0.50000000,1
9,0.1pct,0.001,1397693940,1397694840,4,0.00099206,1
9,1pct,0.010,1397688540,1397700240,40,0.00992063,1
9,10pct,0.100,1397633640,1397754840,403,0.09995040,1
9,50pct,0.500,1397391240,1397997540,2016,0.50000000,1
10,0.1pct,0.001,1381522200,1381522200,1,0.00080451,1
10,1pct,0.010,1381520400,1381523700,12,0.00965406,1
10,10pct,0.100,1381503600,1381540500,124,0.09975865,1
10,50pct,0.500,1381429200,1381615200,621,0.49959775,1
11,0.1pct,0.001,1413451800,1413468000,10,0.00096899,1
11,1pct,0.010,1413367200,1413550800,103,0.00998062,1
11,10pct,0.100,1412532000,1414387800,1032,0.10000000,1
11,50pct,0.500,1408816800,1418103000,5160,0.50000000,1
12,0.1pct,0.001,1440587460,1440589260,2,0.00080000,1
12,1pct,0.010,1440524580,1440597060,25,0.01000000,1
12,10pct,0.100,1440195480,1440786540,250,0.10000000,1
12,50pct,0.500,1438950600,1441647300,1250,0.50000000,1
13,0.1pct,0.001,1440593400,1440594000,2,0.00092507,1
13,1pct,0.010,1440585540,1440653160,21,0.00971323,1
13,10pct,0.100,1440364020,1440854460,216,0.09990749,1
13,50pct,0.500,1439289120,1441875000,1081,0.50000000,1
14,0.1pct,0.001,1442049960,1442050560,2,0.00084034,1
14,1pct,0.010,1442046060,1442054460,23,0.00966387,1
14,10pct,0.100,1441987440,1442094360,238,0.10000000,1
14,50pct,0.500,1441715220,1442306160,1190,0.50000000,1
15,0.1pct,0.001,1442020860,1442021760,2,0.00080000,1
15,1pct,0.010,1442012460,1442035860,25,0.01000000,1
15,10pct,0.100,1441969740,1442076660,250,0.10000000,1
15,50pct,0.500,1441398480,1442293800,1250,0.50000000,1
16,0.1pct,0.001,1442009160,1442009460,2,0.00080000,1
16,1pct,0.010,1442003760,1442017560,25,0.01000000,1
16,10pct,0.100,1441963920,1442073360,250,0.10000000,1
