class,selector_kind,group,source,non_decreasing,pairs,predicate_cells,selectivity_min,selectivity_median,selectivity_max,known_gen_over_parquet_median,complete_gen_over_parquet_filter_median,complete_gen_over_parquet_boundary_median,complete_gen_over_equal_page_parquet_boundary_median,complete_direct_gen_over_parquet_boundary_median,complete_direct_gen_over_equal_page_parquet_boundary_median,complete_direct_gen_over_storage_gen_median,direct_gen_over_storage_gen_file_bytes_median,gen_delivered_over_parquet_boundary_median,direct_gen_delivered_over_parquet_boundary_median,gen_selector_primitive_values_fraction_median,direct_gen_selector_primitive_values_fraction_median,parquet_boundary_selector_values_fraction_median,gen_boundary_wins,direct_gen_boundary_wins,direct_gen_equal_page_boundary_wins,boundary_order_used
analytical,timestamp,clickbench,hits_timestamp,false,3,12,0.00099945,0.05502319,0.50000763,0.4728,0.9007,0.8923,1.4782,0.4857,0.8671,0.5802,2.1085,0.5315,1.0823,1.0000,1.0000,1.0000,11,12,7,false
analytical,identifier,tpch,lineitem_orderkey,true,2,8,0.00103760,0.05502700,0.50005341,1.2541,0.1710,2.0468,0.7353,0.4142,0.2338,0.2817,3.9626,2.3403,0.8243,0.0263,0.0078,0.0625,3,7,7,true
analytical,timestamp,tpch,lineitem_timestamp,false,2,8,0.00125122,0.05556106,0.50038910,0.3310,0.5105,0.5046,0.6618,0.4879,0.6356,0.9594,1.1113,0.4621,0.4844,1.0002,1.0002,1.0000,8,8,7,false
structured,timestamp,household,uci_household_power,true,2,8,0.00099945,0.05499649,0.50000000,8.4289,0.7294,5.8054,2.1138,1.5036,0.8363,0.3470,4.6722,7.0199,1.1813,0.0236,0.0005,0.0625,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de,true,1,4,0.00084567,0.05602537,0.50000000,0.8255,0.6961,1.3372,0.6176,0.0950,0.0438,0.0709,6.4675,1.6637,2.6480,0.5030,0.0099,0.2165,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_disk_write_bytes_c0d644,true,1,4,0.00099206,0.05493551,0.50000000,0.9525,1.2288,1.7699,1.1376,0.1569,0.1074,0.1195,5.0391,1.6334,2.1456,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_network_in_257a54,true,1,4,0.00099206,0.05493551,0.50000000,1.6835,1.4660,2.1748,1.4782,0.0972,0.0660,0.0530,2.0341,2.4726,0.9192,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_network_in_5abac7,true,1,4,0.00084567,0.05613108,0.50000000,1.7677,1.0168,1.7865,0.8880,0.2442,0.1164,0.1264,4.4116,1.5108,1.2109,0.5030,0.0097,0.2165,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/elb_request_count_8c0756,true,1,4,0.00099206,0.05493551,0.50000000,0.7840,1.1428,1.7334,1.1605,0.0966,0.0660,0.0710,3.0881,2.0272,1.5619,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn,true,1,4,0.00080451,0.05470636,0.49959775,0.8138,1.2594,1.4421,1.2697,0.0676,0.0594,0.0473,1.6524,1.1924,0.6784,1.8467,0.0322,0.8238,0,4,4,true
