metric,value
predicate_cells,152
known_generated_beats_fused,141
known_generated_beats_parquet,57
known_direct_generated_beats_parquet,105
complete_generated_beats_fused,141
compiled_filter_beats_scan,114
complete_generated_beats_parquet_full,86
complete_generated_beats_parquet_filter,93
complete_generated_beats_parquet_boundary,26
complete_generated_beats_parquet_boundary_p4096,30
complete_generated_beats_parquet_boundary_p16384,67
complete_direct_generated_beats_parquet_boundary,125
complete_direct_generated_beats_parquet_boundary_p16384,118
known_gen_over_parquet_min,0.0435
known_gen_over_parquet_median,1.4917
known_gen_over_parquet_max,15.2409
known_direct_gen_over_parquet_min,0.0030
known_direct_gen_over_parquet_median,0.2672
known_direct_gen_over_parquet_max,6.6943
complete_gen_over_scan_min,0.1374
complete_gen_over_scan_median,0.6647
complete_gen_over_scan_max,1.4151
complete_gen_over_parquet_full_min,0.1056
complete_gen_over_parquet_full_median,0.9338
complete_gen_over_parquet_full_max,12.6327
complete_gen_over_parquet_filter_min,0.1079
complete_gen_over_parquet_filter_median,0.9042
complete_gen_over_parquet_filter_max,7.8156
complete_gen_over_parquet_boundary_min,0.3877
complete_gen_over_parquet_boundary_median,1.8285
complete_gen_over_parquet_boundary_max,17.9474
complete_gen_over_parquet_boundary_p4096_min,0.4698
complete_gen_over_parquet_boundary_p4096_median,1.2561
complete_gen_over_parquet_boundary_p4096_max,12.7033
complete_gen_over_parquet_boundary_p16384_min,0.4798
complete_gen_over_parquet_boundary_p16384_median,1.1066
complete_gen_over_parquet_boundary_p16384_max,7.7684
complete_direct_gen_over_parquet_boundary_min,0.0033
complete_direct_gen_over_parquet_boundary_median,0.2761
complete_direct_gen_over_parquet_boundary_max,6.1203
complete_direct_gen_over_parquet_boundary_p16384_min,0.0040
complete_direct_gen_over_parquet_boundary_p16384_median,0.1926
complete_direct_gen_over_parquet_boundary_p16384_max,3.3392
complete_direct_gen_over_storage_gen_min,0.0018
complete_direct_gen_over_storage_gen_median,0.1525
complete_direct_gen_over_storage_gen_max,1.9349
predicate_discovery_share_min,0.0126
predicate_discovery_share_median,0.6102
predicate_discovery_share_max,0.9985
direct_predicate_discovery_share_min,-0.0015
direct_predicate_discovery_share_median,0.4095
direct_predicate_discovery_share_max,0.9973
