column,group,source,name,rows,nulls,recipe,bytes,direct_recipe,direct_bytes,non_decreasing
0,"clickbench","hits_timestamp","c0_timestamp_x1",16384,0,"Frame(Delta(BitPack))",17845,"FOR(BitPack)",35136,false
1,"clickbench","hits_timestamp","c2_RegionID_x1",16384,0,"Frame(Dictionary(BitPack))",2901,"RLE(FOR(BitPack))",6784,false
2,"clickbench","hits_timestamp","c3_ResolutionWidth_x1",16384,0,"Frame(Dictionary(RLE(BitPack)))",2923,"Dictionary(RLE(BitPack))",6576,false
3,"clickbench","hits_timestamp","c8_SendTiming_x1",16384,0,"Dictionary(BitPack)",320,"Dictionary(BitPack)",320,true
4,"household","uci_household_power","timestamp",16384,0,"Frame(UnsignedDelta(BitPack))",465,"FOR(BitPack)",41280,true
5,"household","uci_household_power","global_active_power_x1000",16384,2,"Frame(Nullable(Delta(BitPack)))",20987,"Nullable(FOR(BitPack))",31488,false
6,"household","uci_household_power","global_reactive_power_x1000",16384,2,"Frame(Nullable(Delta(BitPack)))",14549,"Nullable(FOR(BitPack))",23296,false
7,"nab","realAWSCloudwatch/ec2_disk_write_bytes_1ef3de","timestamp",4730,0,"Frame(UnsignedDelta(BitPack))",455,"FOR(BitPack)",12752,true
8,"nab","realAWSCloudwatch/ec2_disk_write_bytes_1ef3de","value_x10",4730,0,"Frame(FOR(BitPack))",2390,"RLE(FOR(BitPack))",5648,false
9,"nab","realAWSCloudwatch/ec2_disk_write_bytes_c0d644","timestamp",4032,0,"Frame(Delta(BitPack))",421,"FOR(BitPack)",11072,true
10,"nab","realAWSCloudwatch/ec2_disk_write_bytes_c0d644","value_x10",4032,0,"Frame(FOR(BitPack))",3567,"RLE(FOR(BitPack))",9024,false
11,"nab","realAWSCloudwatch/ec2_network_in_257a54","timestamp",4032,0,"Frame(UnsignedDelta(BitPack))",443,"FOR(BitPack)",11072,true
12,"nab","realAWSCloudwatch/ec2_network_in_257a54","value_x10",4032,0,"Frame(FOR(BitPack))",13212,"FOR(BitPack)",16704,false
13,"nab","realAWSCloudwatch/ec2_network_in_5abac7","timestamp",4730,0,"Frame(UnsignedDelta(BitPack))",457,"FOR(BitPack)",12752,true
14,"nab","realAWSCloudwatch/ec2_network_in_5abac7","value_x100",4730,0,"Frame(Dictionary(BitPack))",4849,"Dictionary(BitPack)",10656,false
15,"nab","realAWSCloudwatch/elb_request_count_8c0756","timestamp",4032,0,"Frame(UnsignedDelta(BitPack))",484,"FOR(BitPack)",11072,true
16,"nab","realAWSCloudwatch/elb_request_count_8c0756","value_x1",4032,0,"Frame(FOR(BitPack))",4863,"FOR(BitPack)",5440,false
17,"nab","realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn","timestamp",1243,0,"Frame(Delta(BitPack))",379,"FOR(BitPack)",3360,true
18,"nab","realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn","value_x10",1243,0,"Frame(Delta(BitPack))",4753,"FOR(BitPack)",5120,false
19,"nab","realKnownCause/nyc_taxi","timestamp",10320,0,"Frame(Delta(BitPack))",503,"FOR(BitPack)",32720,true
20,"nab","realKnownCause/nyc_taxi","value_x1",10320,0,"Frame(Delta(BitPack))",18855,"FOR(BitPack)",21056,false
21,"nab","realTraffic/TravelTime_387","timestamp",2500,0,"Frame(Delta(BitPack))",2338,"FOR(BitPack)",7680,true
22,"nab","realTraffic/TravelTime_387","value_x1",2500,0,"Frame(Delta(BitPack))",3696,"FOR(BitPack)",4480,false
23,"nab","realTraffic/TravelTime_451","timestamp",2162,0,"Frame(Delta(BitPack))",2830,"FOR(BitPack)",6576,true
24,"nab","realTraffic/TravelTime_451","value_x1",2162,0,"Frame(Delta(BitPack))",3328,"FOR(BitPack)",3856,false
25,"nab","realTraffic/occupancy_6005","timestamp",2380,0,"Frame(Delta(BitPack))",1529,"FOR(BitPack)",6704,true
26,"nab","realTraffic/occupancy_6005","value_x100",2380,0,"Frame(Dictionary(BitPack))",2764,"FOR(BitPack)",3968,false
27,"nab","realTraffic/occupancy_t4013","timestamp",2500,0,"Frame(Delta(BitPack))",1506,"FOR(BitPack)",7040,true
28,"nab","realTraffic/occupancy_t4013","value_x100",2500,0,"Frame(Dictionary(BitPack))",3622,"FOR(BitPack)",4480,false
29,"nab","realTraffic/speed_6005","timestamp",2500,0,"Frame(Delta(BitPack))",1612,"FOR(BitPack)",7040,true
30,"nab","realTraffic/speed_6005","value_x1",2500,0,"Frame(Dictionary(BitPack))",2372,"FOR(BitPack)",2560,false
31,"nab","realTraffic/speed_7578","timestamp",1127,0,"Frame(Delta(BitPack))",975,"FOR(BitPack)",3200,true
32,"nab","realTraffic/speed_7578","value_x1",1127,0,"Frame(Delta(BitPack))",1207,"FOR(BitPack)",1328,false
33,"nab","realTraffic/speed_t4013","timestamp",2495,0,"Frame(Delta(BitPack))",1502,"FOR(BitPack)",7040,true
34,"nab","realTraffic/speed_t4013","value_x1",2495,0,"Frame(Delta(BitPack))",2074,"FOR(BitPack)",2560,false
35,"nab","realTweets/Twitter_volume_AAPL","timestamp",15902,0,"Frame(Delta(BitPack))",521,"FOR(BitPack)",46320,true
