pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
0,0.1pct,generated_selective,132089.0,132158.4,132365.4,1950,17,37953,20746,20746,4,2,16384,17,16384,34,20746,0,0,false
0,0.1pct,generated_fused,326264.2,326286.2,326526.6,1950,17,55624,20746,20746,2,2,16384,16384,16384,32768,20746,0,0,false
0,0.1pct,generated_direct_selective,65904.5,65934.2,65950.7,1950,17,36097,37920,37920,20,0,16384,17,16385,183,41920,0,0,false
0,0.1pct,generated_scan_selective,132398.1,132404.7,132466.2,1950,17,37953,20746,20746,4,2,16384,17,16384,34,20746,0,0,false
0,0.1pct,parquet_full,156025.1,156025.1,156491.7,1950,17,0,39866,39866,35,0,16384,17,16384,17,39870,0,0,false
0,0.1pct,parquet_boundary_search_p4096,113916.7,113919.2,114554.6,1950,17,0,38589,38589,11,0,16384,17,16384,17,38593,4,4,false
0,0.1pct,parquet_boundary_search_p16384,95975.6,95998.1,96360.2,1950,17,0,39706,39706,5,0,16384,17,16384,17,39710,2,1,true
0,0.1pct,parquet_boundary_search,142246.4,142333.6,142594.1,1950,17,0,35305,35305,25,0,16384,17,16384,17,39870,16,16,false
0,0.1pct,parquet_row_filter,141853.0,142229.2,142481.7,1950,17,0,35305,35305,25,0,16384,17,16384,17,39870,0,0,false
0,0.1pct,parquet_page_index_filter,141620.4,141994.0,142312.9,1950,17,0,35305,35305,25,0,16384,17,16384,17,39870,16,16,false
0,1pct,generated_selective,134800.3,134801.7,134956.9,152299,165,38117,20746,20746,4,2,16384,165,16384,330,20746,0,0,false
0,1pct,generated_fused,327369.8,327493.3,327605.2,152299,165,55624,20746,20746,2,2,16384,16384,16384,32768,20746,0,0,false
0,1pct,generated_direct_selective,70588.5,70695.4,70711.1,152299,165,37319,40128,40128,35,0,16384,165,16385,700,41920,0,0,false
0,1pct,generated_scan_selective,134695.8,134729.4,134771.6,152299,165,38117,20746,20746,4,2,16384,165,16384,330,20746,0,0,false
0,1pct,parquet_full,156006.8,156984.9,157170.9,152299,165,0,39866,39866,35,0,16384,165,16384,165,39870,0,0,false
0,1pct,parquet_boundary_search_p4096,122305.5,122614.1,122705.5,152299,165,0,38589,38589,11,0,16384,165,16384,165,38593,4,4,false
0,1pct,parquet_boundary_search_p16384,100857.7,101067.5,101164.5,152299,165,0,39706,39706,5,0,16384,165,16384,165,39710,2,1,true
