pair,predicate,actual_selectivity,known_gen_ns,known_direct_gen_ns,known_fused_ns,known_parquet_ns,complete_gen_ns,complete_direct_gen_ns,complete_fused_ns,complete_scan_ns,parquet_full_ns,parquet_filter_ns,parquet_boundary_ns,parquet_boundary_p4096_ns,parquet_boundary_p16384_ns,known_gen_over_parquet,known_direct_gen_over_parquet,complete_gen_over_scan,complete_gen_over_parquet_full,complete_gen_over_parquet_filter,complete_gen_over_parquet_boundary,complete_gen_over_parquet_boundary_p4096,complete_gen_over_parquet_boundary_p16384,complete_direct_gen_over_parquet_boundary,complete_direct_gen_over_parquet_boundary_p16384,complete_direct_gen_over_storage_gen,discovery_multiplier,discovery_share,direct_discovery_share
0,0.1pct,0.00103760,11482.4,1673.9,205485.1,20096.2,132158.4,65934.2,326286.2,132404.7,156025.1,142229.2,142333.6,113919.2,95998.1,0.5714,0.0833,0.9981,0.8470,0.9292,0.9285,1.1601,1.3767,0.4632,0.6868,0.4989,11.5096,0.9131,0.9746
0,10pct,0.09997559,34946.5,31876.2,208474.1,76569.5,157757.7,97156.4,330776.7,157318.8,158245.2,203802.7,206821.7,151845.5,130411.5,0.4564,0.4163,1.0028,0.9969,0.7741,0.7628,1.0389,1.2097,0.4698,0.7450,0.6159,4.5143,0.7785,0.6719
0,1pct,0.01007080,13803.8,6330.5,205817.9,39226.2,134801.7,70695.4,327493.3,134729.4,156984.9,161692.8,161983.3,122614.1,101067.5,0.3519,0.1614,1.0005,0.8587,0.8337,0.8322,1.0994,1.3338,0.4364,0.6995,0.5244,9.7656,0.8976,0.9105
0,50pct,0.50006104,119814.9,84329.7,212416.7,84160.3,250542.0,152407.2,340795.8,251164.4,163194.1,210604.0,213530.7,158675.5,135101.4,1.4237,1.0020,0.9975,1.5352,1.1896,1.1733,1.5790,1.8545,0.7137,1.1281,0.6083,2.0911,0.5218,0.4467
1,0.1pct,0.00103760,9327.8,1634.3,37435.6,20191.3,130101.3,67304.1,158235.1,129913.7,155085.4,142653.4,143686.5,113872.1,95416.2,0.4620,0.0809,1.0014,0.8389,0.9120,0.9055,1.1425,1.3635,0.4684,0.7054,0.5173,13.9477,0.9283,0.9757
1,10pct,0.09997559,36735.0,30687.0,38176.2,73105.5,159389.3,95895.9,160842.5,159884.2,157317.0,196638.2,200141.7,148312.8,124206.4,0.5025,0.4198,0.9969,1.0132,0.8106,0.7964,1.0747,1.2833,0.4791,0.7721,0.6016,4.3389,0.7695,0.6800
1,1pct,0.01007080,13086.9,5671.4,37537.5,38251.9,133855.2,69829.1,158634.1,134059.9,154738.2,161726.2,162897.4,122219.1,99678.1,0.3421,0.1483,0.9985,0.8650,0.8277,0.8217,1.0952,1.3429,0.4287,0.7005,0.5217,10.2282,0.9022,0.9188
1,50pct,0.50006104,88585.3,85338.6,38254.5,82921.6,216060.0,153824.3,166753.2,216588.6,161843.0,208320.6,213590.7,157736.0,133436.1,1.0683,1.0291,0.9976,1.3350,1.0372,1.0116,1.3698,1.6192,0.7202,1.1528,0.7120,2.4390,0.5900,0.4452
2,0.1pct,0.00103760,279.3,278.0,103395.7,9453.0,121139.2,64356.6,223504.4,120698.1,124846.8,131527.4,131956.7,90618.4,70376.0,0.0295,0.0294,1.0037,0.9703,0.9210,0.9180,1.3368,1.7213,0.4877,0.9145,0.5313,433.7243,0.9977,0.9957
2,10pct,0.09997559,14101.2,14125.0,105893.7,29607.9,136662.4,79491.0,228505.6,136853.3,127012.7,154407.9,156315.5,109057.9,88309.3,0.4763,0.4771,0.9986,1.0760,0.8851,0.8743,1.2531,1.5475,0.5085,0.9001,0.5817,9.6915,0.8968,0.8223
2,1pct,0.01007080,1641.7,1642.4,103823.3,14207.3,123217.5,66169.7,225234.5,123385.9,125041.1,135874.7,137683.7,94672.1,73381.3,0.1156,0.1156,0.9986,0.9854,0.9068,0.8949,1.3015,1.6791,0.4806,0.9017,0.5370,75.0548,0.9867,0.9752
2,50pct,0.50006104,66606.9,65435.9,110596.6,51482.3,193590.6,134250.1,237261.2,194018.0,132444.6,176213.6,179637.9,132576.2,112220.8,1.2938,1.2710,0.9978,1.4617,1.0986,1.0777,1.4602,1.7251,0.7473,1.1963,0.6935,2.9065,0.6559,0.5126
3,0.1pct,0.00097656,26487.6,571.5,273806.9,13229.6,42274.7,1178.0,289761.8,104875.8,93310.1,67694.7,21807.6,41920.1,78997.8,2.0021,0.0432,0.4031,0.4531,0.6245,1.9385,1.0085,0.5351,0.0540,0.0149,0.0279,1.5960,0.3734,0.5149
3,10pct,0.09997559,45787.1,20001.2,277271.9,15597.8,60060.8,21294.5,292118.7,125636.7,94211.0,70240.1,24340.6,44255.1,81212.8,2.9355,1.2823,0.4781,0.6375,0.8551,2.4675,1.3571,0.7395,0.8749,0.2622,0.3545,1.3117,0.2377,0.0607
3,1pct,0.00994873,27747.7,2310.8,274286.1,13415.3,42914.0,2996.0,289937.2,106255.1,93465.6,67898.8,22226.6,42202.3,79210.6,2.0684,0.1723,0.4039,0.4591,0.6320,1.9307,1.0169,0.5418,0.1348,0.0378,0.0698,1.5466,0.3534,0.2287
