pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
0,0.1pct,generated_selective,11478.4,11482.4,11495.0,1950,17,385,2901,2901,2,1,0,17,0,34,2901,0,0,false
0,0.1pct,generated_fused,205421.8,205485.1,205632.1,1950,17,18056,2901,2901,1,1,0,16384,0,32768,2901,0,0,false
0,0.1pct,generated_direct_selective,1672.0,1673.9,1676.7,1950,17,1017,2840,2840,17,0,0,17,0,183,6784,0,0,false
0,0.1pct,parquet_row_selection,20076.3,20096.2,20163.4,1950,17,0,4261,4261,9,0,0,17,0,17,39870,0,0,false
0,1pct,generated_selective,13803.1,13803.8,13831.3,152299,165,549,2901,2901,2,1,0,165,0,330,2901,0,0,false
0,1pct,generated_fused,205796.8,205817.9,206108.3,152299,165,18056,2901,2901,1,1,0,16384,0,32768,2901,0,0,false
0,1pct,generated_direct_selective,6328.2,6330.5,6333.1,152299,165,2239,5048,5048,32,0,0,165,0,700,6784,0,0,false
0,1pct,parquet_row_selection,39213.7,39226.2,39266.7,152299,165,0,6858,6858,15,0,0,165,0,165,39870,0,0,false
0,10pct,generated_selective,34944.4,34946.5,34954.6,1927707,1638,2310,2901,2901,2,1,0,1638,0,3276,2901,0,0,false
0,10pct,generated_fused,208419.7,208474.1,208998.2,1927707,1638,18056,2901,2901,1,1,0,16384,0,32768,2901,0,0,false
0,10pct,generated_direct_selective,31852.0,31876.2,31903.1,1927707,1638,4228,6656,6656,44,0,0,1638,0,3523,6784,0,0,false
0,10pct,parquet_row_selection,76328.4,76569.5,76786.1,1927707,1638,0,8822,8822,19,0,0,1638,0,1638,39870,0,0,false
0,50pct,generated_selective,119693.4,119814.9,119831.2,9800271,8193,9441,2901,2901,2,1,0,8193,0,16386,2901,0,0,false
0,50pct,generated_fused,212345.6,212416.7,212472.3,9800271,8193,18056,2901,2901,1,1,0,16384,0,32768,2901,0,0,false
0,50pct,generated_direct_selective,84192.0,84329.7,84616.6,9800271,8193,5896,6784,6784,45,0,0,8193,0,9175,6784,0,0,false
0,50pct,parquet_row_selection,84144.2,84160.3,84321.0,9800271,8193,0,8822,8822,19,0,0,8193,0,8193,39870,0,0,false
1,0.1pct,generated_selective,9320.1,9327.8,9347.8,30078,17,1069,2923,2923,2,1,0,17,0,177,2923,0,0,false
1,0.1pct,generated_fused,37400.1,37435.6,37508.8,30078,17,6238,2923,2923,1,1,0,16384,0,3125,2923,0,0,false
1,0.1pct,generated_direct_selective,1631.7,1634.3,1635.1,30078,17,1005,2288,2288,20,0,0,17,0,177,6576,0,0,false
1,0.1pct,parquet_row_selection,20188.3,20191.3,20213.3,30078,17,0,4076,4076,9,0,0,17,0,17,39259,0,0,false
1,1pct,generated_selective,13080.4,13086.9,13092.3,266642,165,2010,2923,2923,2,1,0,165,0,623,2923,0,0,false
1,1pct,generated_fused,37533.7,37537.5,37539.0,266642,165,6238,2923,2923,1,1,0,16384,0,3125,2923,0,0,false
1,1pct,generated_direct_selective,5658.2,5671.4,5675.7,266642,165,1946,4480,4480,39,0,0,165,0,623,6576,0,0,false
1,1pct,parquet_row_selection,38220.1,38251.9,38257.8,266642,165,0,6378,6378,15,0,0,165,0,165,39259,0,0,false
1,10pct,generated_selective,36625.5,36735.0,36761.4,2675664,1638,4178,2923,2923,2,1,0,1638,0,3360,2923,0,0,false
1,10pct,generated_fused,38137.2,38176.2,38246.8,2675664,1638,6238,2923,2923,1,1,0,16384,0,3125,2923,0,0,false
1,10pct,generated_direct_selective,30654.6,30687.0,30703.9,2675664,1638,4114,6216,6216,55,0,0,1638,0,3360,6576,0,0,false
1,10pct,parquet_row_selection,73010.4,73105.5,73232.7,2675664,1638,0,8211,8211,19,0,0,1638,0,1638,39259,0,0,false
1,50pct,generated_selective,88169.2,88585.3,88892.1,13286683,8193,5977,2923,2923,2,1,0,8193,0,9235,2923,0,0,false
1,50pct,generated_fused,38248.8,38254.5,38425.3,13286683,8193,6238,2923,2923,1,1,0,16384,0,3125,2923,0,0,false
1,50pct,generated_direct_selective,85246.7,85338.6,85374.7,13286683,8193,5913,6516,6516,58,0,0,8193,0,9235,6576,0,0,false
1,50pct,parquet_row_selection,82722.5,82921.6,82975.8,13286683,8193,0,8211,8211,19,0,0,8193,0,8193,39259,0,0,false
2,0.1pct,generated_selective,279.0,279.3,280.5,0,17,264,264,264,2,0,0,17,0,34,320,0,0,false
2,0.1pct,generated_fused,103256.6,103395.7,103397.9,0,17,264,320,320,1,0,0,16384,0,32768,320,0,0,false
2,0.1pct,generated_direct_selective,278.0,278.0,283.4,0,17,264,264,264,2,0,0,17,0,34,320,0,0,false
2,0.1pct,parquet_row_selection,9427.3,9453.0,9469.1,0,17,0,1858,1858,9,0,0,17,0,17,33296,0,0,false
2,1pct,generated_selective,1641.0,1641.7,1644.4,0,165,264,264,264,2,0,0,165,0,330,320,0,0,false
2,1pct,generated_fused,103761.1,103823.3,103946.6,0,165,264,320,320,1,0,0,16384,0,32768,320,0,0,false
2,1pct,generated_direct_selective,1638.0,1642.4,1643.1,0,165,264,264,264,2,0,0,165,0,330,320,0,0,false
2,1pct,parquet_row_selection,14190.6,14207.3,14282.1,0,165,0,2092,2092,15,0,0,165,0,165,33296,0,0,false
2,10pct,generated_selective,14066.6,14101.2,14115.1,0,1638,264,264,264,2,0,0,1638,0,3276,320,0,0,false
2,10pct,generated_fused,105827.3,105893.7,105898.4,0,1638,264,320,320,1,0,0,16384,0,32768,320,0,0,false
2,10pct,generated_direct_selective,14117.6,14125.0,14136.5,0,1638,264,264,264,2,0,0,1638,0,3276,320,0,0,false
2,10pct,parquet_row_selection,29507.2,29607.9,29645.7,0,1638,0,2248,2248,19,0,0,1638,0,1638,33296,0,0,false
2,50pct,generated_selective,66529.9,66606.9,66677.7,0,8193,264,264,264,2,0,0,8193,0,16386,320,0,0,false
2,50pct,generated_fused,110435.8,110596.6,110672.8,0,8193,264,320,320,1,0,0,16384,0,32768,320,0,0,false
2,50pct,generated_direct_selective,65416.5,65435.9,65449.6,0,8193,264,264,264,2,0,0,8193,0,16386,320,0,0,false
2,50pct,parquet_row_selection,51474.7,51482.3,51573.8,0,8193,0,2248,2248,19,0,0,8193,0,8193,33296,0,0,false
3,0.1pct,generated_selective,26479.1,26487.6,26526.2,26638,16,1022,20987,20987,2,1,0,16,0,310,20987,0,0,false
3,0.1pct,generated_fused,273600.9,273806.9,273808.1,26638,16,31681,20987,20987,1,1,0,16384,0,32952,20987,0,0,false
3,0.1pct,generated_direct_selective,570.9,571.5,576.6,26638,16,522,1032,1032,6,0,0,16,0,65,31488,0,0,false
3,0.1pct,parquet_row_selection,13216.5,13229.6,13245.9,26638,16,0,4569,4569,5,0,0,16,0,16,26745,0,0,false
3,1pct,generated_selective,27705.0,27747.7,27748.8,266162,163,1160,20987,20987,2,1,0,163,0,521,20987,0,0,false
3,1pct,generated_fused,274020.0,274286.1,274645.1,266162,163,31681,20987,20987,1,1,0,16384,0,32952,20987,0,0,false
3,1pct,generated_direct_selective,2304.7,2310.8,2311.2,266162,163,789,1032,1032,6,0,0,163,0,350,31488,0,0,false
3,1pct,parquet_row_selection,13401.7,13415.3,13425.0,266162,163,0,4569,4569,5,0,0,163,0,163,26745,0,0,false
3,10pct,generated_selective,45738.4,45787.1,45790.1,2465906,1638,4025,20987,20987,2,1,0,1638,0,3506,20987,0,0,false
3,10pct,generated_fused,276861.4,277271.9,277290.7,2465906,1638,31681,20987,20987,1,1,0,16384,0,32952,20987,0,0,false
3,10pct,generated_direct_selective,19977.8,20001.2,20016.5,2465906,1638,3558,3912,3912,12,0,0,1638,0,3304,31488,0,0,false
3,10pct,parquet_row_selection,15597.2,15597.8,15623.5,2465906,1638,0,4569,4569,5,0,0,1638,0,1638,26745,0,0,false
3,50pct,generated_selective,124730.7,124800.7,124828.1,14705956,8192,16097,20987,20987,2,1,0,8192,0,16568,20987,0,0,false
3,50pct,generated_fused,290965.3,291302.5,291511.2,14705956,8192,31681,20987,20987,1,1,0,16384,0,32952,20987,0,0,false
3,50pct,generated_direct_selective,98297.1,98298.6,98477.4,14705956,8192,15817,15880,15880,37,0,0,8192,0,16387,31488,0,0,false
3,50pct,parquet_row_selection,33989.1,34078.7,34253.7,14705956,8192,0,13852,13852,11,0,0,8192,0,8192,26745,0,0,false
4,0.1pct,generated_selective,21635.9,21639.8,21675.5,146,16,924,14549,14549,2,1,0,16,0,310,14549,0,0,false
4,0.1pct,generated_fused,269187.0,269634.9,269650.7,146,16,25538,14549,14549,1,1,0,16384,0,32952,14549,0,0,false
4,0.1pct,generated_direct_selective,594.8,598.6,599.7,146,16,514,904,904,6,0,0,16,0,65,23296,0,0,false
4,0.1pct,parquet_row_selection,9050.9,9076.5,9141.7,146,16,0,3822,3822,5,0,0,16,0,16,19571,0,0,false
4,1pct,generated_selective,22892.6,22899.7,22927.8,10558,163,1034,14549,14549,2,1,0,163,0,521,14549,0,0,false
4,1pct,generated_fused,270089.9,270197.0,270270.1,10558,163,25538,14549,14549,1,1,0,16384,0,32952,14549,0,0,false
4,1pct,generated_direct_selective,2306.9,2306.9,2310.7,10558,163,707,904,904,6,0,0,163,0,350,23296,0,0,false
4,1pct,parquet_row_selection,9304.6,9307.6,9370.1,10558,163,0,3822,3822,5,0,0,163,0,163,19571,0,0,false
4,10pct,generated_selective,40924.4,40932.1,40951.1,205490,1638,3335,14549,14549,2,1,0,1638,0,3506,14549,0,0,false
4,10pct,generated_fused,272965.6,273256.0,273682.3,205490,1638,25538,14549,14549,1,1,0,16384,0,32952,14549,0,0,false
4,10pct,generated_direct_selective,20008.5,20028.3,20038.8,205490,1638,2740,3016,3016,12,0,0,1638,0,3304,23296,0,0,false
4,10pct,parquet_row_selection,11284.8,11298.4,11310.8,205490,1638,0,3822,3822,5,0,0,1638,0,1638,19571,0,0,false
4,50pct,generated_selective,120042.7,120208.6,120215.4,972716,8192,13026,14549,14549,2,1,0,8192,0,16568,14549,0,0,false
4,50pct,generated_fused,286675.7,286802.3,286896.0,972716,8192,25538,14549,14549,1,1,0,16384,0,32952,14549,0,0,false
4,50pct,generated_direct_selective,98549.4,98561.4,98742.2,972716,8192,11722,11784,11784,37,0,0,8192,0,16387,23296,0,0,false
4,50pct,parquet_row_selection,27870.5,27925.3,28044.1,972716,8192,0,10105,10105,11,0,0,8192,0,8192,19571,0,0,false
5,0.1pct,generated_selective,5714.4,5718.3,5723.4,0,4,345,2390,2390,2,1,0,4,0,5,2390,0,0,false
5,0.1pct,generated_fused,25352.5,25355.5,25361.7,0,4,19840,2390,2390,1,1,0,4730,0,4731,2390,0,0,false
5,0.1pct,generated_direct_selective,321.4,321.6,322.1,0,4,569,1240,1240,6,0,0,4,0,31,5648,0,0,false
5,0.1pct,parquet_row_selection,7608.7,7622.2,7634.8,0,4,0,1622,1622,4,0,0,4,0,4,5028,0,0,false
5,1pct,generated_selective,5883.8,5896.0,5897.7,0,47,523,2390,2390,2,1,0,47,0,48,2390,0,0,false
5,1pct,generated_fused,25376.9,25381.5,25389.0,0,47,19840,2390,2390,1,1,0,4730,0,4731,2390,0,0,false
5,1pct,generated_direct_selective,322.5,323.1,327.3,0,47,569,1240,1240,6,0,0,47,0,31,5648,0,0,false
