pair,predicate,requested_selectivities,low,high,selected_rows,actual_selectivity,ranges
0,0.1pct,0.001,1373872299,1373872410,17,0.00103760,7
0,1pct,0.010,1373871959,1373872721,165,0.01007080,25
0,10pct,0.100,1373867150,1373876259,1638,0.09997559,130
0,50pct,0.500,1373849885,1373892315,8193,0.50006104,320
1,0.1pct,0.001,1373872299,1373872410,17,0.00103760,7
1,1pct,0.010,1373871959,1373872721,165,0.01007080,25
1,10pct,0.100,1373867150,1373876259,1638,0.09997559,130
1,50pct,0.500,1373849885,1373892315,8193,0.50006104,320
2,0.1pct,0.001,1373872299,1373872410,17,0.00103760,7
2,1pct,0.010,1373871959,1373872721,165,0.01007080,25
2,10pct,0.100,1373867150,1373876259,1638,0.09997559,130
2,50pct,0.500,1373849885,1373892315,8193,0.50006104,320
3,0.1pct,0.001,1166780880,1166781780,16,0.00097656,1
3,1pct,0.010,1166776440,1166786160,163,0.00994873,1
3,10pct,0.100,1166732220,1166830440,1638,0.09997559,1
3,50pct,0.500,1166535600,1167027060,8192,0.50000000,1
4,0.1pct,0.001,1166780880,1166781780,16,0.00097656,1
4,1pct,0.010,1166776440,1166786160,163,0.00994873,1
4,10pct,0.100,1166732220,1166830440,1638,0.09997559,1
4,50pct,0.500,1166535600,1167027060,8192,0.50000000,1
5,0.1pct,0.001,1394404140,1394405040,4,0.00084567,1
5,1pct,0.010,1394397540,1394411340,47,0.00993658,1
5,10pct,0.100,1394334000,1394475240,483,0.10211416,1
5,50pct,0.500,1394049840,1394759040,2365,0.50000000,1
6,0.1pct,0.001,1397052900,1397053800,4,0.00099206,1
6,1pct,0.010,1397047500,1397059200,40,0.00992063,1
6,10pct,0.100,1396992900,1397113500,403,0.09995040,1
6,50pct,0.500,1396751100,1397355600,2016,0.50000000,1
7,0.1pct,0.001,1397693040,1397693940,4,0.00099206,1
7,1pct,0.010,1397687640,1397699340,40,0.00992063,1
7,10pct,0.100,1397633040,1397753640,403,0.09995040,1
7,50pct,0.500,1397390940,1397995740,2016,0.50000000,1
8,0.1pct,0.001,1394404260,1394405160,4,0.00084567,1
8,1pct,0.010,1394397660,1394411460,47,0.00993658,1
8,10pct,0.100,1394334000,1394475360,484,0.10232558,1
8,50pct,0.500,1394049960,1394759160,2365,0.50000000,1
9,0.1pct,0.001,1397693940,1397694840,4,0.00099206,1
9,1pct,0.010,1397688540,1397700240,40,0.00992063,1
9,10pct,0.100,1397633640,1397754840,403,0.09995040,1
9,50pct,0.500,1397391240,1397997540,2016,0.50000000,1
10,0.1pct,0.001,1381522200,1381522200,1,0.00080451,1
10,1pct,0.010,1381520400,1381523700,12,0.00965406,1
10,10pct,0.100,1381503600,1381540500,124,0.09975865,1
