class,selector_kind,group,source,non_decreasing,pairs,predicate_cells,selectivity_min,selectivity_median,selectivity_max,known_gen_over_parquet_median,complete_gen_over_parquet_filter_median,complete_gen_over_parquet_boundary_median,complete_gen_over_equal_page_parquet_boundary_median,complete_direct_gen_over_parquet_boundary_median,complete_direct_gen_over_equal_page_parquet_boundary_median,complete_direct_gen_over_storage_gen_median,direct_gen_over_storage_gen_file_bytes_median,gen_delivered_over_parquet_boundary_median,direct_gen_delivered_over_parquet_boundary_median,gen_selector_primitive_values_fraction_median,direct_gen_selector_primitive_values_fraction_median,parquet_boundary_selector_values_fraction_median,gen_boundary_wins,direct_gen_boundary_wins,direct_gen_equal_page_boundary_wins,boundary_order_used
analytical,timestamp,clickbench,hits_timestamp,false,3,12,0.00103760,0.05502320,0.50006104,0.4691,0.9094,0.9002,1.4621,0.4799,0.8361,0.5593,2.0085,0.5452,1.0606,1.0000,1.0001,1.0000,9,12,9,false
analytical,identifier,tpch,lineitem_orderkey,true,2,8,0.00115967,0.05529785,0.50006104,0.9122,0.3473,1.3340,0.4593,0.3808,0.1317,0.3209,3.3822,1.1559,1.3777,0.1908,0.0456,0.1250,2,8,7,true
analytical,timestamp,tpch,lineitem_timestamp,false,2,8,0.00097656,0.05523681,0.50006104,0.3613,0.6977,0.6869,0.8924,0.4187,0.5402,0.6142,1.3857,0.5635,0.5020,1.0013,1.0013,1.0000,8,8,7,false
structured,timestamp,household,uci_household_power,true,2,8,0.00097656,0.05496216,0.50000000,2.6979,0.7333,2.1603,0.6247,0.5189,0.1502,0.2154,3.8466,3.8321,1.3522,0.1832,0.0034,0.1250,0,5,6,true
structured,timestamp,nab,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de,true,1,4,0.00084567,0.05602537,0.50000000,0.8167,0.6943,1.3268,0.6141,0.0978,0.0448,0.0727,6.4675,1.6637,2.6480,0.5030,0.0099,0.2165,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_disk_write_bytes_c0d644,true,1,4,0.00099206,0.05493551,0.50000000,0.9494,1.2752,1.8416,1.1713,0.1601,0.1088,0.1198,5.0391,1.6334,2.1456,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_network_in_257a54,true,1,4,0.00099206,0.05493551,0.50000000,1.7127,1.4906,2.1627,1.4939,0.0957,0.0660,0.0524,2.0341,2.4726,0.9192,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/ec2_network_in_5abac7,true,1,4,0.00084567,0.05613108,0.50000000,1.7808,1.0289,1.8023,0.8911,0.2454,0.1166,0.1263,4.4116,1.5108,1.2109,0.5030,0.0097,0.2165,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/elb_request_count_8c0756,true,1,4,0.00099206,0.05493551,0.50000000,0.7871,1.1446,1.7543,1.1609,0.0983,0.0669,0.0720,3.0881,2.0272,1.5619,1.1349,0.0114,0.3810,0,4,4,true
structured,timestamp,nab,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn,true,1,4,0.00080451,0.05470636,0.49959775,0.8207,1.2974,1.4797,1.2969,0.0678,0.0593,0.0465,1.6524,1.1924,0.6784,1.8467,0.0322,0.8238,0,4,4,true
structured,timestamp,nab,realKnownCause/nyc_taxi,true,1,4,0.00096899,0.05499031,0.50000000,2.2879,0.7574,1.9800,0.7681,0.1609,0.0635,0.0837,2.7780,3.7890,1.3508,0.2352,0.0050,0.1984,0,4,4,true
structured,timestamp,nab,realTraffic/TravelTime_387,true,1,4,0.00080000,0.05500000,0.50000000,0.9136,1.0349,1.6908,1.1252,0.0760,0.0481,0.0457,2.0152,1.8391,1.0094,1.1560,0.0176,0.4096,0,4,4,true
structured,timestamp,nab,realTraffic/TravelTime_451,true,1,4,0.00092507,0.05481036,0.50000000,0.7790,0.8724,1.2501,0.9469,0.0533,0.0471,0.0430,1.6941,1.2995,0.8217,0.8296,0.0199,0.7105,1,4,4,true
structured,timestamp,nab,realTraffic/occupancy_6005,true,1,4,0.00084034,0.05483194,0.50000000,1.1349,1.0842,1.6554,1.1755,0.0722,0.0481,0.0455,2.4859,1.4324,1.0250,1.2941,0.0181,0.4303,0,4,4,true
structured,timestamp,nab,realTraffic/occupancy_t4013,true,1,4,0.00080000,0.05500000,0.50000000,0.8717,1.0226,1.6204,1.1883,0.0746,0.0495,0.0456,2.2465,1.7076,1.0283,1.1560,0.0176,0.4096,0,4,4,true
structured,timestamp,nab,realTraffic/speed_6005,true,1,4,0.00080000,0.05500000,0.50000000,0.8003,1.1018,1.6655,1.1891,0.0780,0.0504,0.0466,2.4096,1.7040,1.2797,1.1560,0.0176,0.4096,0,4,4,true
structured,timestamp,nab,realTraffic/speed_7578,true,1,4,0.00088731,0.05456966,0.49955634,0.4987,0.9217,1.0073,0.9321,0.0507,0.0468,0.0443,2.0752,0.8517,0.8962,1.3744,0.0346,0.9086,2,4,4,true
structured,timestamp,nab,realTraffic/speed_t4013,true,1,4,0.00080160,0.05470942,0.49979960,0.6995,0.9956,1.5492,1.1073,0.0756,0.0503,0.0500,2.6846,1.6306,1.3643,1.1848,0.0180,0.4104,0,4,4,true
