metric,value
predicate_cells,152
known_generated_beats_fused,139
known_generated_beats_parquet,61
known_direct_generated_beats_parquet,108
complete_generated_beats_fused,139
compiled_filter_beats_scan,117
complete_generated_beats_parquet_full,79
complete_generated_beats_parquet_filter,90
complete_generated_beats_parquet_boundary,22
complete_generated_beats_parquet_boundary_p4096,32
complete_generated_beats_parquet_boundary_p16384,72
complete_direct_generated_beats_parquet_boundary,133
complete_direct_generated_beats_parquet_boundary_p16384,126
known_gen_over_parquet_min,0.0256
known_gen_over_parquet_median,1.2773
known_gen_over_parquet_max,18.8786
known_direct_gen_over_parquet_min,0.0117
known_direct_gen_over_parquet_median,0.2585
known_direct_gen_over_parquet_max,7.3491
complete_gen_over_scan_min,0.2962
complete_gen_over_scan_median,0.6432
complete_gen_over_scan_max,1.4141
complete_gen_over_parquet_full_min,0.2561
complete_gen_over_parquet_full_median,0.9830
complete_gen_over_parquet_full_max,21.3397
complete_gen_over_parquet_filter_min,0.2625
complete_gen_over_parquet_filter_median,0.9130
complete_gen_over_parquet_filter_max,11.7135
complete_gen_over_parquet_boundary_min,0.5557
complete_gen_over_parquet_boundary_median,1.6699
complete_gen_over_parquet_boundary_max,10.0596
complete_gen_over_parquet_boundary_p4096_min,0.6237
complete_gen_over_parquet_boundary_p4096_median,1.2246
complete_gen_over_parquet_boundary_p4096_max,10.3508
complete_gen_over_parquet_boundary_p16384_min,0.3772
complete_gen_over_parquet_boundary_p16384_median,1.0181
complete_gen_over_parquet_boundary_p16384_max,10.4581
complete_direct_gen_over_parquet_boundary_min,0.0085
complete_direct_gen_over_parquet_boundary_median,0.2617
complete_direct_gen_over_parquet_boundary_max,4.0205
complete_direct_gen_over_parquet_boundary_p16384_min,0.0099
complete_direct_gen_over_parquet_boundary_p16384_median,0.1991
complete_direct_gen_over_parquet_boundary_p16384_max,4.1157
complete_direct_gen_over_storage_gen_min,0.0032
complete_direct_gen_over_storage_gen_median,0.1859
complete_direct_gen_over_storage_gen_max,3.3643
predicate_discovery_share_min,0.0517
predicate_discovery_share_median,0.6057
predicate_discovery_share_max,0.9977
direct_predicate_discovery_share_min,0.0047
direct_predicate_discovery_share_median,0.4286
direct_predicate_discovery_share_max,0.9957
