column,query,rows,selectivity,weight
0,SUM,1,0.00000763,1
0,BETWEEN,1,0.00000763,1
0,SUM,131,0.00099945,1
0,BETWEEN,131,0.00099945,1
0,SUM,1310,0.00999451,1
0,BETWEEN,1310,0.00999451,1
0,SUM,13107,0.09999847,1
0,BETWEEN,13107,0.09999847,1
0,SUM,65536,0.50000000,1
0,BETWEEN,65536,0.50000000,1
0,SUM,131072,1.00000000,1
0,BETWEEN,131072,1.00000000,1
1,SUM,1,0.00000763,1
1,BETWEEN,1,0.00000763,1
1,SUM,131,0.00099945,1
1,BETWEEN,131,0.00099945,1
1,SUM,1310,0.00999451,1
1,BETWEEN,1310,0.00999451,1
1,SUM,13107,0.09999847,1
1,BETWEEN,13107,0.09999847,1
1,SUM,65536,0.50000000,1
1,BETWEEN,65536,0.50000000,1
1,SUM,131072,1.00000000,1
1,BETWEEN,131072,1.00000000,1
2,SUM,1,0.00000763,1
2,BETWEEN,1,0.00000763,1
2,SUM,131,0.00099945,1
2,BETWEEN,131,0.00099945,1
2,SUM,1310,0.00999451,1
2,BETWEEN,1310,0.00999451,1
2,SUM,13107,0.09999847,1
2,BETWEEN,13107,0.09999847,1
2,SUM,65536,0.50000000,1
2,BETWEEN,65536,0.50000000,1
2,SUM,131072,1.00000000,1
2,BETWEEN,131072,1.00000000,1
3,SUM,1,0.00013761,1
3,BETWEEN,1,0.00013761,1
3,SUM,7,0.00096326,1
3,BETWEEN,7,0.00096326,1
3,SUM,72,0.00990780,1
3,BETWEEN,72,0.00990780,1
3,SUM,726,0.09990367,1
3,BETWEEN,726,0.09990367,1
3,SUM,3633,0.49993120,1
3,BETWEEN,3633,0.49993120,1
3,SUM,7267,1.00000000,1
3,BETWEEN,7267,1.00000000,1
4,SUM,1,0.00009690,1
4,BETWEEN,1,0.00009690,1
4,SUM,10,0.00096899,1
4,BETWEEN,10,0.00096899,1
4,SUM,103,0.00998062,1
4,BETWEEN,103,0.00998062,1
4,SUM,1032,0.10000000,1
4,BETWEEN,1032,0.10000000,1
4,SUM,5160,0.50000000,1
4,BETWEEN,5160,0.50000000,1
4,SUM,10320,1.00000000,1
4,BETWEEN,10320,1.00000000,1
5,SUM,1,0.00009690,1
5,BETWEEN,1,0.00009690,1
5,SUM,10,0.00096899,1
5,BETWEEN,10,0.00096899,1
5,SUM,103,0.00998062,1
5,BETWEEN,103,0.00998062,1
5,SUM,1032,0.10000000,1
5,BETWEEN,1032,0.10000000,1
5,SUM,5160,0.50000000,1
5,BETWEEN,5160,0.50000000,1
5,SUM,10320,1.00000000,1
5,BETWEEN,10320,1.00000000,1
6,SUM,1,0.00006289,1
6,BETWEEN,1,0.00006289,1
6,SUM,15,0.00094328,1
6,BETWEEN,15,0.00094328,1
6,SUM,159,0.00999874,1
6,BETWEEN,159,0.00999874,1
6,SUM,1590,0.09998742,1
6,BETWEEN,1590,0.09998742,1
6,SUM,7951,0.50000000,1
6,BETWEEN,7951,0.50000000,1
6,SUM,15902,1.00000000,1
6,BETWEEN,15902,1.00000000,1
7,SUM,1,0.00006289,1
7,BETWEEN,1,0.00006289,1
7,SUM,15,0.00094328,1
7,BETWEEN,15,0.00094328,1
7,SUM,159,0.00999874,1
7,BETWEEN,159,0.00999874,1
7,SUM,1590,0.09998742,1
7,BETWEEN,1590,0.09998742,1
7,SUM,7951,0.50000000,1
7,BETWEEN,7951,0.50000000,1
7,SUM,15902,1.00000000,1
7,BETWEEN,15902,1.00000000,1
8,SUM,1,0.00000763,1
8,BETWEEN,1,0.00000763,1
8,SUM,131,0.00099945,1
8,BETWEEN,131,0.00099945,1
8,SUM,1310,0.00999451,1
8,BETWEEN,1310,0.00999451,1
8,SUM,13107,0.09999847,1
8,BETWEEN,13107,0.09999847,1
8,SUM,65536,0.50000000,1
8,BETWEEN,65536,0.50000000,1
8,SUM,131072,1.00000000,1
8,BETWEEN,131072,1.00000000,1
9,SUM,1,0.00000763,1
9,BETWEEN,1,0.00000763,1
9,SUM,131,0.00099945,1
9,BETWEEN,131,0.00099945,1
9,SUM,1310,0.00999451,1
9,BETWEEN,1310,0.00999451,1
9,SUM,13107,0.09999847,1
9,BETWEEN,13107,0.09999847,1
9,SUM,65536,0.50000000,1
9,BETWEEN,65536,0.50000000,1
9,SUM,131072,1.00000000,1
9,BETWEEN,131072,1.00000000,1
10,SUM,1,0.00000763,1
10,BETWEEN,1,0.00000763,1
10,SUM,131,0.00099945,1
10,BETWEEN,131,0.00099945,1
10,SUM,1310,0.00999451,1
10,BETWEEN,1310,0.00999451,1
10,SUM,13107,0.09999847,1
10,BETWEEN,13107,0.09999847,1
10,SUM,65536,0.50000000,1
10,BETWEEN,65536,0.50000000,1
10,SUM,131072,1.00000000,1
10,BETWEEN,131072,1.00000000,1
11,SUM,1,0.00000763,1
11,BETWEEN,1,0.00000763,1
11,SUM,131,0.00099945,1
11,BETWEEN,131,0.00099945,1
11,SUM,1310,0.00999451,1
11,BETWEEN,1310,0.00999451,1
11,SUM,13107,0.09999847,1
11,BETWEEN,13107,0.09999847,1
11,SUM,65536,0.50000000,1
11,BETWEEN,65536,0.50000000,1
11,SUM,131072,1.00000000,1
11,BETWEEN,131072,1.00000000,1
12,SUM,1,0.00000763,1
12,BETWEEN,1,0.00000763,1
12,SUM,131,0.00099945,1
12,BETWEEN,131,0.00099945,1
12,SUM,1310,0.00999451,1
12,BETWEEN,1310,0.00999451,1
12,SUM,13107,0.09999847,1
12,BETWEEN,13107,0.09999847,1
12,SUM,65536,0.50000000,1
12,BETWEEN,65536,0.50000000,1
12,SUM,131072,1.00000000,1
12,BETWEEN,131072,1.00000000,1
13,SUM,1,0.00000763,1
13,BETWEEN,1,0.00000763,1
13,SUM,131,0.00099945,1
13,BETWEEN,131,0.00099945,1
13,SUM,1310,0.00999451,1
13,BETWEEN,1310,0.00999451,1
13,SUM,13107,0.09999847,1
13,BETWEEN,13107,0.09999847,1
13,SUM,65536,0.50000000,1
13,BETWEEN,65536,0.50000000,1
13,SUM,131072,1.00000000,1
13,BETWEEN,131072,1.00000000,1
